city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/california/loma-linda,1,Brookdale Loma Linda,25585 Van Leuven Street,Loma Linda,CA,92354,Assisted Living,"$3,800/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/loma-linda/brookdale-loma-linda
https://www.seniorly.com/assisted-living/california/loma-linda,1,Sunrise At Canyon Crest,5265 Chapala Drive,Riverside,CA,92507,"Assisted Living , Memory Care","$4,500/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/california/riverside/sunrise-at-canyon-crest-riverside
https://www.seniorly.com/assisted-living/california/loma-linda,1,Loma Linda Assisted Living & Memory Care,25393 Cole Street,Loma Linda,CA,92354,Loma Linda Assisted Living & Memory Care,"$3,500/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/california/loma-linda/loma-linda-assisted-living-memory-care
https://www.seniorly.com/assisted-living/california/loma-linda,1,The Hills of Stillman,940 Stillman Avenue,Redlands,CA,92374,"Assisted Living , Board and Care Home","$4,500/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/redlands/hamilton-home
https://www.seniorly.com/assisted-living/california/loma-linda,1,Heritage Gardens,25271 Barton Road,Loma Linda,CA,92354,"Assisted Living , Skilled Nursing Facility","$4,300/mo",6.8,No,No,https://www.seniorly.com/assisted-living/california/loma-linda/heritage-gardens
https://www.seniorly.com/assisted-living/california/loma-linda,1,Abria Del Cielo,1589 North Waterman Avenue,San Bernardino,CA,92404,Assisted Living,"$4,810/mo",9.1,Yes,No,https://www.seniorly.com/assisted-living/california/san-bernardino/abria-del-cielo
https://www.seniorly.com/assisted-living/california/loma-linda,1,Excelcare,11400 Poplar Street,Loma Linda,CA,92354,"Assisted Living , Board and Care Home","$4,100/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/california/loma-linda/excelcare
https://www.seniorly.com/assisted-living/california/loma-linda,1,Enjoycare - Poplar,11574 Poplar Street,Loma Linda,CA,92354,"Assisted Living , Board and Care Home",,6.8,Yes,No,https://www.seniorly.com/assisted-living/california/loma-linda/enjoycare-poplar
https://www.seniorly.com/assisted-living/california/loma-linda,1,Braswell's Chateau Villa,620 East Highland Avenue,Redlands,CA,92374,Assisted Living,"$6,000/mo",7.7,No,No,https://www.seniorly.com/assisted-living/california/redlands/braswell-s-chateau-villa
https://www.seniorly.com/assisted-living/california/loma-linda,1,Rialto Assisted Living,1441 South Riverside Avenue,Rialto,CA,92376,Rialto Assisted Living,"$5,200/mo",7.4,No,No,https://www.seniorly.com/assisted-living/california/rialto/rialto-assisted-living
https://www.seniorly.com/assisted-living/california/loma-linda,1,Brightwater Senior Living of Highland,28807 Base Line Street,Highland,CA,92346,"Assisted Living , Memory Care","$4,800/mo",7.6,Yes,No,https://www.seniorly.com/assisted-living/california/highland/brightwater-senior-living-of-highland-dba
https://www.seniorly.com/assisted-living/california/loma-linda,1,Palm View Pleasant Living,710 Church Street,Redlands,CA,92374,Assisted Living,"$3,900/mo",8.9,No,No,https://www.seniorly.com/assisted-living/california/redlands/palm-view-pleasant-living
