city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/california/mira-loma,1,Estancia Del Sol,2489 California Avenue,Corona,CA,92881,"Assisted Living , Memory Care","$4,560/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/corona/estancia-del-sol
https://www.seniorly.com/assisted-living/california/mira-loma,1,Citrus Place,7898 California Avenue,Riverside,CA,92504,"Assisted Living , Memory Care , Independent Living","$3,000/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/california/riverside/citrus-place
https://www.seniorly.com/assisted-living/california/mira-loma,1,Cadence At Rancho Cucamonga,10459 Church Street,Rancho Cucamonga,CA,91730,"Assisted Living , Memory Care , Independent Living","$4,945/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/rancho-cucamonga/cadence-at-rancho-cucamonga
https://www.seniorly.com/assisted-living/california/mira-loma,1,Discovery Commons Raincross,5232 Central Avenue,Riverside,CA,92504,"Assisted Living , Memory Care","$3,530/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/california/riverside/raincross-at-riverside
https://www.seniorly.com/assisted-living/california/mira-loma,1,Rwins Haven For The Elderly,4912 RedRock Avenue,Riverside,CA,92503,"Assisted Living , Board and Care Home , Memory Care","$3,800/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/california/riverside/rwins-haven-for-the-elderly-riverside
https://www.seniorly.com/assisted-living/california/mira-loma,1,Valencia Terrace,2300 South Main Street,Corona,CA,92882,"Assisted Living , Independent Living","$3,200/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/california/corona/valencia-terrace
https://www.seniorly.com/assisted-living/california/mira-loma,1,Chino Hills Senior Living,6500 Butterfield Ranch Road,Chino Hills,CA,91709,"Assisted Living , Memory Care , Independent Living","$5,600/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/california/chino-hills/pacifica-senior-living-chino-hills
https://www.seniorly.com/assisted-living/california/mira-loma,1,Vista Corona Senior Living,737 Magnolia Avenue,Corona,CA,92879,Assisted Living,"$3,889/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/california/corona/avista-senior-living-magnolia
https://www.seniorly.com/assisted-living/california/mira-loma,1,Savant of Jurupa Valley,5881 El Palomino Drive,Riverside,CA,92509,Assisted Living,"$4,500/mo",6.8,No,No,https://www.seniorly.com/assisted-living/california/riverside/villa-de-anza-assisted-living
https://www.seniorly.com/assisted-living/california/mira-loma,1,Evergreen Senior Home Care,826 Paseo Grande,Corona,CA,92882,"Assisted Living , Board and Care Home , Memory Care","$6,000/mo",9.5,No,No,https://www.seniorly.com/assisted-living/california/corona/senior-oasis-assisted-living
