city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Cogir Of Rohnert Park,4855 Snyder Lane,Rohnert Park,CA,94928,"Assisted Living , Independent Living","$3,495/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/rohnert-park/cogir-of-rohnert-park
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Windsong Of Sonoma Senior Living,815 Wood Sorrel Drive,Petaluma,CA,94954,"Assisted Living , Memory Care","$4,390/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/petaluma/windsong-of-sonoma-senior-living
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Brookdale Chanate,3250 Chanate Road,Santa Rosa,CA,95404,"Assisted Living , Memory Care","$4,430/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/brookdale-chanate-santa-rosa
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Ivy Park at Santa Rosa,4225 Wayvern Drive,Santa Rosa,CA,95409,"Assisted Living , Memory Care","$4,295/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/ivy-park-at-santa-rosa
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Ivy Park at Piner,1980 Piner Road,Santa Rosa,CA,95403,"Assisted Living , Memory Care","$4,300/mo",9.9,No,No,https://www.seniorly.com/assisted-living/california/santa-rosa/ivy-park-at-piner
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Springfield Place,101 Ely Boulevard South,Petaluma,CA,94954,"Assisted Living , Independent Living","$4,850/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/california/petaluma/springfield-place-petaluma
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Country Rose Assisted Living,2273 West Hearn Avenue,Santa Rosa,CA,95407,Country Rose Assisted Living,"$5,000/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/country-rose-assisted-living-santa-rosa
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Pine Ridge Terrace,300 Fountaingrove Parkway,Santa Rosa,CA,95403,"Assisted Living , Memory Care , Skilled Nursing Facility","$4,995/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/pine-ridge-terrace
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Clearwater at Sonoma Hills,710 Rohnert Park Expressway,Rohnert Park,CA,94928,Assisted Living,"$3,470/mo",6.4,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/clearwater-at-sonoma-hills
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Brookdale Paulin Creek,2375 Range Avenue,Santa Rosa,CA,95403,"Assisted Living , Memory Care , Independent Living","$4,325/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/brookdale-paulin-creek
https://www.seniorly.com/assisted-living/california/rohnert-park,1,St. Michaels Assisted Living,7300 Burton Avenue,Rohnert Park,CA,94928,St. Michaels Assisted Living,"$6,000/mo",8.4,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/st-michael-s-assisted-living-rohnert-park
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Oakmont Gardens,301 White Oak Drive,Santa Rosa,CA,95409,"Assisted Living , Independent Living","$4,200/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/california/santa-rosa/oakmont-gardens
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Napa-Sonoma Quality Care Home,4990 Filament Street,Rohnert Park,CA,94928,"Assisted Living , Board and Care Home","$4,800/mo",7.3,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/bishop-s-care-home-ii
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Marie's Care Home,7334 Carioca Court,Rohnert Park,CA,94928,Assisted Living,"$4,800/mo",,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/marie-s-care-home
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Rolling Hills Rest Home II,1225 Cloister Court,Rohnert Park,CA,94928,"Assisted Living , Board and Care Home","$4,800/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/rolling-hills-rest-home-ii
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Mograce Residence,6299 Country Club Drive,Rohnert Park,CA,94928,"Assisted Living , Board and Care Home","$4,800/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/rohnert-park/mograce-residence
https://www.seniorly.com/assisted-living/california/rohnert-park,1,Genesis Rcfe,1004 South Mcdowell Boulevard,Petaluma,CA,94954,"Assisted Living , Board and Care Home","$7,000/mo",9.4,No,No,https://www.seniorly.com/assisted-living/california/petaluma/genesis
