city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/california/tulare,1,Marbella Visalia,3120 West Caldwell Avenue,Visalia,CA,93277,"Assisted Living , Memory Care","$4,810/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/california/visalia/marbella-visalia
https://www.seniorly.com/assisted-living/california/tulare,1,Grand Oaks Assisted Living,999 North M Street,Tulare,CA,93274,Grand Oaks Assisted Living,"$4,650/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/tulare/twin-oaks-assisted-living-center
https://www.seniorly.com/assisted-living/california/tulare,1,Quail Park on Cypress,4520 Cypress Avenue,Visalia,CA,93277,"Assisted Living , Memory Care , Independent Living","$4,350/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/california/visalia/quail-park-retirement-village
https://www.seniorly.com/assisted-living/california/tulare,1,Augdon Senior Care Home 2,134 Colorado Avenue,Tulare,CA,93274,"Assisted Living , Board and Care Home","$3,240/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/tulare/augdon-senior-care-home-2
https://www.seniorly.com/assisted-living/california/tulare,1,Park Visalia Assisted Living & Memory Care,3939 West Walnut Avenue,Visalia,CA,93277,Park Visalia Assisted Living & Memory Care,"$3,890/mo",,Yes,No,https://www.seniorly.com/assisted-living/california/visalia/park-visalia-assisted-living-memory-care
https://www.seniorly.com/assisted-living/california/tulare,1,Gaither's Family Home #3,1302 East Carmelo Avenue,Tulare,CA,93274,Assisted Living,"$3,520/mo",3.8,No,No,https://www.seniorly.com/assisted-living/california/tulare/gaithers-family-home-3
https://www.seniorly.com/assisted-living/california/tulare,1,Kaweah Health Ruth Wood Open Arms House,3234 West Iris Avenue,Visalia,CA,93277,"Assisted Living , Board and Care Home","$3,910/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/california/visalia/kaweah-health-ruth-wood-open-arms-house
https://www.seniorly.com/assisted-living/california/tulare,1,Quail Park Memory Care Residences,5050 Tulare Avenue,Visalia,CA,93277,Quail Park Memory Care Residences,"$4,510/mo",,No,No,https://www.seniorly.com/assisted-living/california/visalia/quail-park-memory-care-residences
https://www.seniorly.com/assisted-living/california/tulare,1,Evergreen Residence,3030 West Caldwell Avenue,Visalia,CA,93277,Assisted Living,"$4,400/mo",7.3,No,No,https://www.seniorly.com/assisted-living/california/visalia/evergreen-residence
https://www.seniorly.com/assisted-living/california/tulare,1,Glory Days Assisted Living,1303 South Pinkham,Visalia,CA,93292,Glory Days Assisted Living,"$3,250/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/california/visalia/glory-days-assisted-living-for-seniors
https://www.seniorly.com/assisted-living/california/tulare,1,Jordeth Senior Care Home,2226 West Perez Ct,Visalia,CA,93291,"Assisted Living , Board and Care Home","$3,410/mo",6.8,No,No,https://www.seniorly.com/assisted-living/california/visalia/jordeth-senior-care-home
https://www.seniorly.com/assisted-living/california/tulare,1,Lourdes Senior Care Home,2234 East Kaweah Ct,Visalia,CA,93292,Assisted Living,"$3,320/mo",6.8,No,No,https://www.seniorly.com/assisted-living/california/visalia/lourdes-senior-care-home
https://www.seniorly.com/assisted-living/california/tulare,1,Augdon Senior Care Home,2610 South Dollner Street,Visalia,CA,93277,"Assisted Living , Board and Care Home","$3,850/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/visalia/augdon-senior-care-home
https://www.seniorly.com/assisted-living/california/tulare,1,Sierra Village Assisted Living,73 Molenstraat,Visalia,CA,93277,Sierra Village Assisted Living,"$4,780/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/visalia/sierra-village-assisted-living
https://www.seniorly.com/assisted-living/california/tulare,1,T.L.C Assisted Living For Seniors,2530 South Ben Maddox Way,Visalia,CA,93292,T.L.C Assisted Living For Seniors,"$3,980/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/visalia/t-l-c-assisted-living-for-seniors
https://www.seniorly.com/assisted-living/california/tulare,1,Silver House Assisted Living,4439 West Harold Avenue,Visalia,CA,93291,Silver House Assisted Living,"$4,500/mo",4.8,No,No,https://www.seniorly.com/assisted-living/california/visalia/silver-house-assisted-living
https://www.seniorly.com/assisted-living/california/tulare,1,Dago Residential Facility #2 Elderly,3425 South San Joaquin Court,Visalia,CA,93277,Assisted Living,"$3,230/mo",3.8,No,No,https://www.seniorly.com/assisted-living/california/visalia/dago-residential-facility-2-elderly
https://www.seniorly.com/assisted-living/california/tulare,1,Senior Care Comfort Living,720 SOUTH CHINOWTH ROAD,VISALIA,CA,93277,Assisted Living,"$3,470/mo",,No,No,https://www.seniorly.com/assisted-living/california/visalia/senior-care-comfort-living-visalia
https://www.seniorly.com/assisted-living/california/tulare,1,James Linwood Rch,111 1/2 South LINWOOD Street,VISALIA,CA,93291,Assisted Living,"$4,810/mo",3.6,No,No,https://www.seniorly.com/assisted-living/california/visalia/james-linwood-rch
https://www.seniorly.com/assisted-living/california/tulare,1,Hillcrest Living Center,3939 East HILLCREST Avenue,VISALIA,CA,93292,Assisted Living,"$3,880/mo",,No,No,https://www.seniorly.com/assisted-living/california/visalia/hillcrest-living-center
https://www.seniorly.com/assisted-living/california/tulare,2,Senior Care Comfort Living #2,4043 WEST CLINTON Avenue,VISALIA,CA,93291,Assisted Living,"$3,670/mo",,No,No,https://www.seniorly.com/assisted-living/california/visalia/senior-care-comfort-living-2
