city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/california/yuba-city,1,Summerfield Senior Living,1224 Plumas Street,Yuba City,CA,95991,"Assisted Living , Memory Care","$4,900/mo",8.6,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/summerfield-senior-living
https://www.seniorly.com/assisted-living/california/yuba-city,1,Willow Glen Care Center,1547 Plumas Court,Yuba City,CA,95991,Assisted Living,"$5,400/mo",7.3,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/willow-glen-care-center
https://www.seniorly.com/assisted-living/california/yuba-city,1,Marbella Marysville,515 Harris Street,Marysville,CA,95901,"Assisted Living , Memory Care","$3,400/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/california/marysville/marbella-marysville
https://www.seniorly.com/assisted-living/california/yuba-city,1,The Courtyard,1240 Williams Way,Yuba City,CA,95991,Assisted Living,"$5,400/mo",5.2,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/courtyard-the
https://www.seniorly.com/assisted-living/california/yuba-city,1,Golden Years Residential Home Care,837 Allen Way,Yuba City,CA,95993,"Assisted Living , Board and Care Home","$4,080/mo",5.2,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/golden-years-residential-home-care
https://www.seniorly.com/assisted-living/california/yuba-city,1,The Gardens,840 Washington Avenue,Yuba City,CA,95991,Assisted Living,"$8,000/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/gardens-the-yuba-city
https://www.seniorly.com/assisted-living/california/yuba-city,1,Golden Acres Home Care II,2962 Jefferson Avenue,Yuba City,CA,95993,Assisted Living,"$4,080/mo",3.6,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/golden-acres-home-care-ii
https://www.seniorly.com/assisted-living/california/yuba-city,1,Sunrise Meadows Elder Care,1578 Arroya Grande,Yuba City,CA,95993,Assisted Living,"$4,080/mo",3.6,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/sunrise-meadows-elder-care
https://www.seniorly.com/assisted-living/california/yuba-city,1,Yuba Sutter Care Home,920 Bogue Road,Yuba City,CA,95991,Assisted Living,"$4,080/mo",3.8,No,No,https://www.seniorly.com/assisted-living/california/yuba-city/yuba-sutter-care-home
https://www.seniorly.com/assisted-living/california/yuba-city,1,Feather River Manor,3962 West Ella Avenue,Olivehurst,CA,95961,Assisted Living,"$3,400/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/olivehurst/feather-river-manor
https://www.seniorly.com/assisted-living/california/yuba-city,1,Comfort Care Elderly Home,4205 Mary Avenue,Olivehurst,CA,95961,"Assisted Living , Board and Care Home","$3,400/mo",5.5,No,No,https://www.seniorly.com/assisted-living/california/olivehurst/comfort-care-elderly-home
https://www.seniorly.com/assisted-living/california/yuba-city,1,Comfort Haven For The Elderly,125 East Tenth Street,Marysville,CA,95901,Assisted Living,"$5,830/mo",3.8,No,No,https://www.seniorly.com/assisted-living/california/marysville/comfort-haven-for-the-elderly
https://www.seniorly.com/assisted-living/california/yuba-city,1,Plumas Lake Home Care,1700 Finsbury Way,Olivehurst,CA,95961,"Assisted Living , Board and Care Home","$3,400/mo",,No,No,https://www.seniorly.com/assisted-living/california/olivehurst/plumas-lake-home-care
