city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Village Veranda at Lady Lake,955 US-441,Lady Lake,FL,32159,"Assisted Living , Memory Care","$4,175/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/florida/lady-lake/village-veranda-at-lady-lake
https://www.seniorly.com/assisted-living/florida/lady-lake,1,The Springs of Lady Lake,620 Griffin Avenue,Lady Lake,FL,32159,Assisted Living,"$1,745/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/florida/lady-lake/the-springs-lady-lake
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Sumter Senior Living,1490 Killingsworth Way,The Villages,FL,32162,"Assisted Living , Memory Care , Independent Living","$4,900/mo",9.9,No,No,https://www.seniorly.com/assisted-living/florida/the-villages/sumter-senior-living
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Watercrest Buena Vista,5867 East County Road 466,The Villages,FL,32162,"Assisted Living , Memory Care , Independent Living","$4,195/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/florida/the-villages/watercrest-buena-vista
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Harborchase of Villages Crossing,13517 Northeast 86th court,Lady Lake,FL,32159,"Assisted Living , Memory Care","$3,395/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/florida/lady-lake/harbor-chase-of-villages-crossing
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Watercrest Spanish Springs,930 Alverez Avenue,Lady Lake,FL,32159,"Assisted Living , Memory Care",,9.3,Yes,No,https://www.seniorly.com/assisted-living/florida/lady-lake/elan-spanish-springs
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Lady Lake Senior Living,930 County Road 466,Lady Lake,FL,32159,"Assisted Living , Memory Care , Independent Living","$2,795/mo",8.6,No,No,https://www.seniorly.com/assisted-living/florida/lady-lake/lady-lake-senior-living
https://www.seniorly.com/assisted-living/florida/lady-lake,1,The Willows,4725 Bellwether Lane,Oxford,FL,34484,"Assisted Living , Memory Care , Independent Living","$4,335/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/oxford/the-willows
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Mission Oaks,10780 North US Highway 301,Oxford,FL,34484,"Assisted Living , Memory Care","$6,650/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/florida/oxford/mission-oaks
https://www.seniorly.com/assisted-living/florida/lady-lake,1,The Harrison of Wildwood,1477 Huey Street,Wildwood,FL,34785,"Assisted Living , Memory Care","$3,500/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/florida/wildwood/harbor-chase-of-wildwood
https://www.seniorly.com/assisted-living/florida/lady-lake,1,A Banyan Residence at Wildwood,12427 County Road 101,Oxford,FL,34484,"Assisted Living , Memory Care","$3,700/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/florida/oxford/a-banyan-residence-at-wildwood
https://www.seniorly.com/assisted-living/florida/lady-lake,1,Hearthstone at Leesburg,1309 Marlene Street,Leesburg,FL,34748,"Assisted Living , Memory Care","$3,280/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/florida/leesburg/hearthstone-at-leesburg
