city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Discovery Village at Boynton Beach,4733 Northwest 7th Court,Boynton Beach,FL,33426,"Assisted Living , Memory Care , Independent Living","$4,100/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/florida/boynton-beach/discovery-village-at-boynton-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,The Carlisle Palm Beach,450 East Ocean Avenue,Lantana,FL,33462,"Assisted Living , Memory Care , Independent Living","$3,695/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/lantana/the-carlisle-palm-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Brookdale West Boynton Beach,8220 Jog Road,Boynton Beach,FL,33472,"Assisted Living , Memory Care","$4,115/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/boynton-beach/brookdale-west-boynton-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Alamar Senior Living,8785 Lake Worth Road,Wellington,FL,33467,"Assisted Living , Memory Care","$3,800/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/wellington/alamar-senior-living
https://www.seniorly.com/assisted-living/florida/lake-worth,1,The Arbor at Lake Worth,9130 Hypoluxo Road,Lake Worth Corridor,FL,33467,"Assisted Living , Memory Care , Independent Living","$5,150/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/lake-worth/the-arbor-at-lake-worth
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Colonial Assisted Living at West Palm Beach,534 Datura Street,West Palm Beach,FL,33401,Colonial Assisted Living at West Palm Beach,"$3,370/mo",9.7,No,No,https://www.seniorly.com/assisted-living/florida/west-palm-beach/colonial-assisted-living-at-west-palm-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Barrington Terrace at Boynton Beach,1425 South Congress Avenue,Boynton Beach,FL,33426,"Assisted Living , Memory Care","$3,310/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/florida/boynton-beach/barrington-terrace-at-boynton-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,American House Boynton Beach,9776 South Jog Road,Boynton Beach,FL,33437,"Assisted Living , Memory Care , Independent Living","$3,049/mo",9.7,No,No,https://www.seniorly.com/assisted-living/florida/boynton-beach/american-house-boynton-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,The Club at Boynton Beach,623 Federal Highway,Boynton Beach,FL,33435,"Assisted Living , Memory Care","$4,100/mo",9.6,Yes,No,https://www.seniorly.com/assisted-living/florida/boynton-beach/the-club-at-boynton-beach
https://www.seniorly.com/assisted-living/florida/lake-worth,1,Grand Living at West Palm Beach,445 Datura Street,West Palm Beach,FL,33401,"Assisted Living , Memory Care , Independent Living","$3,370/mo",9.5,No,No,https://www.seniorly.com/assisted-living/florida/west-palm-beach/grand-living-at-west-palm-beach
