city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Lehigh Acres Assisted Living,1251 Business Way,Lehigh Acres,FL,33936,Lehigh Acres Assisted Living,"$3,758/mo",9.2,Yes,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/lehigh-acres-place
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Harmony Meadows of Lehigh Acres,711 Crestline Avenue S,Lehigh Acres,FL,33974,Assisted Living,"$3,900/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/harmony-meadows-of-lehigh-acres
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,The Anthurium,1835 12Th Street East,Lehigh Acres,FL,33972,"Assisted Living , Board and Care Home","$3,070/mo",5.5,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/the-anthurium
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,A Home With Heart,806 Calvin Avenue,Lehigh Acres,FL,33972,Assisted Living,"$3,330/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/a-home-with-heart
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Bethesda Gardens Alf,2701 10th Street West,Lehigh Acres,FL,33971,"Assisted Living , Board and Care Home","$4,710/mo",3.6,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/bethesda-gardens-alf
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Bliss Life Residential Care,402 Arthur Avenue,Lehigh Acres,FL,33936,Assisted Living,"$3,910/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/bliss-life-residential-care
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Caring Hands Alf,,,,,Assisted Living,"$3,870/mo",,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/caring-hands-alf
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Rosario 2 Assisted Living Facility,3008 30th Street Southwest,Lehigh Acres,FL,33976,Rosario 2 Assisted Living Facility,"$4,700/mo",3.6,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/rosario-2-assisted-living-facility
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Rosario Assisted Living Facility,2616 22Nd Street W,Lehigh Acres,FL,33971,Rosario Assisted Living Facility,"$3,620/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/rosario-assisted-living-facility
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,The Ebenezer Assisted Living Facility,348 Rockland Street,Lehigh Acres,FL,33972,The Ebenezer Assisted Living Facility,"$3,410/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/the-ebenezer-assisted-living-facility
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,The Ebenezer ALF II,304 Chaucer Avenue,Lehigh Acres,FL,33936,Assisted Living,"$4,100/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/the-ebenezer-alf-ii
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Las Villas ALF,754 Festival Avenue S,Lehigh Acres,FL,33974,Assisted Living,"$3,220/mo",3.6,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/las-villas-alf
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Bywood Court Assisted Living,4916 Bywood Street,Lehigh Acres,FL,33971,Bywood Court Assisted Living,"$4,170/mo",3.8,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/bywood-court-assisted-living
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Royal Vista Assisted Living,4922/4924 Jordan Avenue South,Lehigh Acres,FL,33973,Royal Vista Assisted Living,"$4,510/mo",3.6,No,No,https://www.seniorly.com/assisted-living/florida/lehigh-acres/royal-vista-assisted-living
https://www.seniorly.com/assisted-living/florida/lehigh-acres,1,Alva Senior Living,18401 Palm Beach Boulevard,Alva,FL,33920,Assisted Living,"$4,600/mo",4.5,No,No,https://www.seniorly.com/assisted-living/florida/alva/alva-senior-living
