city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/florida/orange-park,1,The Windsor At Ortega,5939 Roosevelt Boulevard,Jacksonville,FL,32244,"Assisted Living , Memory Care","$4,325/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/the-windsor-at-ortega
https://www.seniorly.com/assisted-living/florida/orange-park,1,Brookdale Orange Park,1248 Kingsley Avenue,Orange Park,FL,32073,"Assisted Living , Memory Care","$2,990/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/florida/orange-park/brookdale-orange-park
https://www.seniorly.com/assisted-living/florida/orange-park,1,Palagio Senior Living,1525 Kingsley Avenue,Orange Park,FL,32073,"Assisted Living , Independent Living","$4,200/mo",9.5,No,No,https://www.seniorly.com/assisted-living/florida/orange-park/palagio-senior-living
https://www.seniorly.com/assisted-living/florida/orange-park,1,Brookdale Avondale,4455 Merrimac Avenue,Jacksonville,FL,32210,Assisted Living,"$4,620/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/florida/jacksonville/brookdale-avondale
https://www.seniorly.com/assisted-living/florida/orange-park,1,Brookdale Mandarin,10790 Old Street Augustine Road,Jacksonville,FL,32257,Assisted Living,"$3,735/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/brookdale-mandarin
https://www.seniorly.com/assisted-living/florida/orange-park,1,Sunrise Of Jacksonville,4870 Belfort Road,Jacksonville,FL,32256,"Assisted Living , Memory Care","$5,198/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/sunrise-of-jacksonville
https://www.seniorly.com/assisted-living/florida/orange-park,1,Starling at San Jose,9075 San Jose Boulevard,Jacksonville,FL,32257,"Assisted Living , Memory Care","$6,495/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/starling-at-san-jose
https://www.seniorly.com/assisted-living/florida/orange-park,1,Premier Assisted Living Facility,319 Eldridge Avenue,Orange Park,FL,32073,Premier Assisted Living Facility,"$2,200/mo",7.7,No,No,https://www.seniorly.com/assisted-living/florida/orange-park/astoria-assisted-living-orange-park
https://www.seniorly.com/assisted-living/florida/orange-park,1,Wyndham Lakes,10660 Old Street Augustine Road,Jacksonville,FL,32257,"Assisted Living , Memory Care , Independent Living","$2,000/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/wyndham-lakes-a-pacifica-senior-living-community
https://www.seniorly.com/assisted-living/florida/orange-park,1,Sodalis Jacksonville,7620 Timberlin Park Boulevard,Jacksonville,FL,32256,"Assisted Living , Memory Care","$3,025/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/sodalis-jacksonville
https://www.seniorly.com/assisted-living/florida/orange-park,1,Brookdale Southpoint,6895 Belfort Oaks Place,Jacksonville,FL,32216,"Assisted Living , Memory Care","$4,035/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/brookdale-southpoint
https://www.seniorly.com/assisted-living/florida/orange-park,1,Canterfield of Clay County,1611 Winners Circle,Middleburg,FL,32068,"Assisted Living , Memory Care , Independent Living","$3,000/mo",9.4,No,No,https://www.seniorly.com/assisted-living/florida/middleburg/canterfield-of-clay-county
https://www.seniorly.com/assisted-living/florida/orange-park,1,Allegro Fleming Island,3651 US Highway 17,Fleming Island,FL,32003,"Assisted Living , Memory Care , Independent Living","$4,100/mo",8.6,No,No,https://www.seniorly.com/assisted-living/florida/fleming-island/allegro-fleming-island
https://www.seniorly.com/assisted-living/florida/orange-park,1,Seagrass Village of Fleming Island,1949 East West Parkway,Fleming Island,FL,32003,"Assisted Living , Memory Care , Independent Living","$3,800/mo",8.6,No,No,https://www.seniorly.com/assisted-living/florida/fleming-island/seagrass-village-of-fleming-island
https://www.seniorly.com/assisted-living/florida/orange-park,1,Addison of Oakleaf,417 Oakleaf Plantation Parkway,Jacksonville,FL,32222,"Assisted Living , Memory Care","$3,200/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/addison-of-oakleaf
https://www.seniorly.com/assisted-living/florida/orange-park,1,Harborchase of Mandarin,12350 San Jose Boulevard,Jacksonville,FL,32223,"Assisted Living , Memory Care , Independent Living","$3,595/mo",,Yes,No,https://www.seniorly.com/assisted-living/florida/jacksonville/harbor-chase-of-mandarin
https://www.seniorly.com/assisted-living/florida/orange-park,1,Silver Treasures at St. Johns,100 Hillcrest Heights Avenue,St Johns,FL,32259,Assisted Living,"$3,800/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/florida/st-johns/the-legacy-at-st-johns
https://www.seniorly.com/assisted-living/florida/orange-park,1,Acacia Grove Assisted Living Facility,2485 Ridgecrest Avenue,Orange Park,FL,32065,Acacia Grove Assisted Living Facility,"$3,500/mo",5.5,No,No,https://www.seniorly.com/assisted-living/florida/orange-park/acacia-grove-assisted-living-facility-llc
https://www.seniorly.com/assisted-living/florida/orange-park,1,Queen Of Angels Alf,1645 Bartlett Avenue,Orange Park,FL,32073,"Assisted Living , Board and Care Home","$3,200/mo",5.2,No,No,https://www.seniorly.com/assisted-living/florida/orange-park/queen-of-angels-alf
https://www.seniorly.com/assisted-living/florida/orange-park,1,Home Care Assisted Living,1906 Belhaven Drive,Orange Park,FL,32065,Home Care Assisted Living,"$3,000/mo",5.5,No,No,https://www.seniorly.com/assisted-living/florida/orange-park/home-care-assisted-living-llc
