city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Brookdale St. Augustine,150 Mariner Health Way,St. Augustine,FL,32086,"Assisted Living , Memory Care","$4,925/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/florida/st-augustine/brookdale-st-augustine
https://www.seniorly.com/assisted-living/florida/st-augustine,1,The Barclay at St. Augustine,165 Silver Lane,Saint Augustine,FL,32084,"Assisted Living , Memory Care , Independent Living","$3,535/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/the-barclay-at-st-augustine-saint-augustine
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Coral Landing,2820 Old Moultrie Road,Saint Augustine,FL,32086,Assisted Living,"$4,200/mo",7.7,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/bvm-coral-landing-llc
https://www.seniorly.com/assisted-living/florida/st-augustine,1,The Lilac at Bayview,161 B Marine Street,Saint Augustine,FL,32084,Assisted Living,"$4,600/mo",7.3,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/bayview-assisted-living-at-the-pavilion
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Allegro St. Augustine,1101 Plantation Island Drive S,St. Augustine,FL,32080,"Assisted Living , Independent Living","$4,420/mo",9.1,No,No,https://www.seniorly.com/assisted-living/florida/st-augustine/allegro-in-st-augustine
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Riverside Cottages at the Shores,471 Shores Boulevard,Saint Augustine,FL,32086,Assisted Living,"$4,600/mo",,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/riverside-cottages-at-the-shores
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Silver Treasures At St Augustine,3552 North Ponce De Leon Boulevard,Saint Augustine,FL,32084,Assisted Living,"$3,060/mo",,Yes,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/silver-treasures-at-st-augustine
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Symphony At St Augustine,840 State Road 16,Saint Augustine,FL,32084,Assisted Living,"$4,600/mo",4.8,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/symphony-at-st-augustine-saint-augustine
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Grafton House,168 Marine Street,Saint Augustine,FL,32084,"Assisted Living , Board and Care Home","$3,480/mo",5.5,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/grafton-house-llc
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Loving Care Living Facility,76 Bruen Street,Saint Augustine,FL,32095,"Assisted Living , Board and Care Home","$3,480/mo",5.5,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/loving-care-living-facility
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Allegro,1101 PLANTATION ISLAND DRIVE,Saint Augustine,FL,32080,Assisted Living,"$2,310/mo",5.2,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/shp-iv-harbour-island-llc
https://www.seniorly.com/assisted-living/florida/st-augustine,1,Tranquil Oaks Assisted Living,5805 Datil Pepper Road,Saint Augustine,FL,32086,Tranquil Oaks Assisted Living,"$3,480/mo",3.6,No,No,https://www.seniorly.com/assisted-living/florida/saint-augustine/stephens-memorial-home
