city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/georgia/bogart,1,Arbor Terrace Athens,170 Marilyn Farmer Way,Athens,GA,30606,"Assisted Living , Memory Care","$3,760/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/georgia/athens/arbor-terrace-of-athens
https://www.seniorly.com/assisted-living/georgia/bogart,1,Hearthwood at Athens,2040 Resurgence Drive,Watkinsville,GA,30677,"Assisted Living , Memory Care","$3,595/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/georgia/watkinsville/st-gabriel-of-athens
https://www.seniorly.com/assisted-living/georgia/bogart,1,Orchard At Athens,2750 Atlanta Highway,Athens,GA,30606,Assisted Living,,9.5,No,No,https://www.seniorly.com/assisted-living/georgia/athens/orchard-at-athens
https://www.seniorly.com/assisted-living/georgia/bogart,1,Mulberry Grove Senior Living,343 Price Street,Statham,GA,30666,Assisted Living,"$4,400/mo",8.4,No,No,https://www.seniorly.com/assisted-living/georgia/statham/mulberry-grove-senior-living
https://www.seniorly.com/assisted-living/georgia/bogart,1,St Marys Highland Hills Village,1660 Jennings Mill Road,Bogart,GA,30622,Assisted Living,"$4,700/mo",3.6,No,No,https://www.seniorly.com/assisted-living/georgia/bogart/highland-hills-village
https://www.seniorly.com/assisted-living/georgia/bogart,1,Haven Memory Care of Athens,705 Whitehead Road,Athens,GA,30606,Haven Memory Care of Athens,"$4,720/mo",6.8,No,No,https://www.seniorly.com/assisted-living/georgia/athens/silverleaf-alzheimer-s-care-of-athens
https://www.seniorly.com/assisted-living/georgia/bogart,1,Overlook Senior Living,171 Highway Us 78 Nw,Monroe,GA,30655,"Assisted Living , Memory Care","$4,500/mo",7.3,No,No,https://www.seniorly.com/assisted-living/georgia/monroe/hollander-senior-living-of-monroe
https://www.seniorly.com/assisted-living/georgia/bogart,1,The Landing of Bogart,2881 Monroe Highway,Bogart,GA,30622,Assisted Living,"$3,400/mo",5.2,No,No,https://www.seniorly.com/assisted-living/georgia/bogart/the-landing-senior-living
https://www.seniorly.com/assisted-living/georgia/bogart,1,T & A's Personal Care Home,5150 Atlanta Highway,Bogart,GA,30622,"Assisted Living , Board and Care Home","$3,400/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/bogart/t-amp-a-s-personal-care-home
https://www.seniorly.com/assisted-living/georgia/bogart,1,Appalachee Home,4600 Monroe Highway,Statham,GA,30666,"Assisted Living , Board and Care Home","$3,300/mo",7.3,No,No,https://www.seniorly.com/assisted-living/georgia/statham/appalachee-home
https://www.seniorly.com/assisted-living/georgia/bogart,1,New Beginning Rest Care Home,209 Fowler Mill Road,Bogart,GA,30622,Assisted Living,"$3,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/bogart/new-beginning-rest-care-home
https://www.seniorly.com/assisted-living/georgia/bogart,1,Plaza Pc Ctr at Talmage Terr,801 Riverhill Drive,Athens,GA,30606,"Assisted Living , Independent Living","$2,750/mo",7.3,No,No,https://www.seniorly.com/assisted-living/georgia/athens/talmage-terrace-lanier-gardens
https://www.seniorly.com/assisted-living/georgia/bogart,1,Grove Senior Living,1641 Virgil Langford Road,Watkinsville,GA,30677,Assisted Living,"$3,500/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/watkinsville/magnolia-estates-of-oconee
https://www.seniorly.com/assisted-living/georgia/bogart,1,Melinda's Guardian Angels's,593 8Th Street,Statham,GA,30666,"Assisted Living , Board and Care Home","$3,300/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/statham/melinda-s-guardian-angels-s
https://www.seniorly.com/assisted-living/georgia/bogart,1,Presbyterian Village - Athens,1400 Live Oak Lane,Athens,GA,30606,Assisted Living,"$4,370/mo",3.6,No,No,https://www.seniorly.com/assisted-living/georgia/athens/the-presbyterian-village-athens
https://www.seniorly.com/assisted-living/georgia/bogart,1,House Of Angels,420 Lavender Road,Athens,GA,30606,"Assisted Living , Board and Care Home","$2,230/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/athens/house-of-angels
https://www.seniorly.com/assisted-living/georgia/bogart,1,Walden's Cove Personal Care Home,1442 Johnson Mill Road,Jefferson,GA,30549,"Assisted Living , Board and Care Home","$3,330/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/jefferson/walden-s-cove-pch
https://www.seniorly.com/assisted-living/georgia/bogart,1,Chumani Personal Care Home,164 Ramble Hills Drive,Athens,GA,30606,Assisted Living,"$2,570/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/athens/chumani-personal-care-home
https://www.seniorly.com/assisted-living/georgia/bogart,1,Huntington Road,250 Huntington Road,Athens,GA,30606,Assisted Living,"$2,510/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/athens/huntington-road
https://www.seniorly.com/assisted-living/georgia/bogart,1,Metro - Community Living Arrangement - Winder,28 Pierce Trail,Winder,GA,30680,Assisted Living,"$2,380/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/winder/metro-community-living-arrangement-winder
https://www.seniorly.com/assisted-living/georgia/bogart,2,169 Oak Bluff - Community Living Arrangement,169 Oak Bluff Drive,Athens,GA,30607,Assisted Living,"$2,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/athens/169-oak-bluff-community-living-arrangement
