city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/georgia/canton,1,The Arbor At BridgeMill,700 Freedom Boulevard,Canton,GA,30114,"Assisted Living , Memory Care , Independent Living","$4,655/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/the-arbor-at-bridge-mill
https://www.seniorly.com/assisted-living/georgia/canton,1,The Phoenix at Union Hill,9651 Union Hill Road,Canton,GA,30115,"Assisted Living , Memory Care , Independent Living","$3,340/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/the-phoenix-at-union-hill
https://www.seniorly.com/assisted-living/georgia/canton,1,Cameron Hall of Canton,240 Marietta Highway,Canton,GA,30114,"Assisted Living , Memory Care","$2,195/mo",9.5,No,No,https://www.seniorly.com/assisted-living/georgia/canton/cameron-hall-of-canton
https://www.seniorly.com/assisted-living/georgia/canton,1,Chapters Living of Canton,125 Riverstone Terrace,Canton,GA,30114,"Assisted Living , Memory Care","$2,795/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/chapters-living-of-canton
https://www.seniorly.com/assisted-living/georgia/canton,1,Cedarhurst Of Canton,3100 Hidden Valley Drive,Canton,GA,30114,"Assisted Living , Memory Care","$3,340/mo",8.5,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/cedarhurst-of-canton
https://www.seniorly.com/assisted-living/georgia/canton,1,Landings of Canton Hills,1100 Reinhardt College Parkway,Canton,GA,30114,"Assisted Living , Memory Care","$3,950/mo",,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/provident-village-at-canton
https://www.seniorly.com/assisted-living/georgia/canton,1,Retreat At Canton,3333 East Cherokee Drive,Canton,GA,30115,"Assisted Living , Memory Care","$3,950/mo",,Yes,No,https://www.seniorly.com/assisted-living/georgia/canton/retreat-at-canton
https://www.seniorly.com/assisted-living/georgia/canton,1,Bellevue Village At Woodstock,1000 Professional Way,Woodstock,GA,30188,"Assisted Living , Memory Care",,9.5,Yes,No,https://www.seniorly.com/assisted-living/georgia/woodstock/bellevue-village-at-woodstock
https://www.seniorly.com/assisted-living/georgia/canton,1,Bellevue Village At Neese Road,756 Neese Road,Woodstock,GA,30188,"Assisted Living , Memory Care",,9.3,Yes,No,https://www.seniorly.com/assisted-living/georgia/woodstock/bellevue-village-at-neese-road
https://www.seniorly.com/assisted-living/georgia/canton,1,Cherokee Angel - Personal Care Home 2,3132 Marietta Highway,Canton,GA,30114,Assisted Living,"$3,450/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/canton/cherokee-angel-personal-care-home-2
https://www.seniorly.com/assisted-living/georgia/canton,1,Camellia Place,294 Rope Mill Road,Woodstock,GA,30188,"Assisted Living , Memory Care","$4,500/mo",6.4,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/camellia-place
https://www.seniorly.com/assisted-living/georgia/canton,1,Forever Harmony Personal Care Home,205 PROVIDENCE WALK COURT,Canton,GA,30114,Assisted Living,"$3,340/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/canton/forever-harmony-pch
https://www.seniorly.com/assisted-living/georgia/canton,1,Cherokee Home,311 BRICKMILL ROAD (P.O. BOX 1335),Canton,GA,30115,Assisted Living,"$3,340/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/canton/cherokee-home
https://www.seniorly.com/assisted-living/georgia/canton,1,Forever Helping Hands 4 Everyone,848 Ash Street,Canton,GA,30114,Assisted Living,,3.6,No,No,https://www.seniorly.com/assisted-living/georgia/canton/forever-helping-hands-4-everyone
https://www.seniorly.com/assisted-living/georgia/canton,1,Cherokee's Angel PCH 3,326 Heights Place,Canton,GA,30114,"Assisted Living , Board and Care Home","$3,870/mo",3.6,No,No,https://www.seniorly.com/assisted-living/georgia/canton/cherokee-s-angel-pch-3
https://www.seniorly.com/assisted-living/georgia/canton,1,Sunabella of Towne Lake,1835 Eagle Drive,Woodstock,GA,30189,Assisted Living,"$3,300/mo",6.8,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/insignia-living-of-towne-lake
https://www.seniorly.com/assisted-living/georgia/canton,1,Grace Senior Living of Woodstock,7819 Hickory Flat Highway,Woodstock,GA,30188,Assisted Living,"$3,300/mo",5.2,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/beehive-homes-of-woodstock
https://www.seniorly.com/assisted-living/georgia/canton,1,Amelia Gardens,545 Toonigh Road,Woodstock,GA,30188,"Assisted Living , Board and Care Home","$3,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/amelia-gardens
https://www.seniorly.com/assisted-living/georgia/canton,1,Oaks at Towne Lake,4580 Towne Lake Parkway,Woodstock,GA,30189,Assisted Living,"$3,300/mo",5.2,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/oaks-at-towne-lake
https://www.seniorly.com/assisted-living/georgia/canton,1,Pierson Place,255 Grimes Road,Woodstock,GA,30188,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/woodstock/pierson-place
