city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Dahlonega Assisted Living And Memory Care,55 Mechanicsville Road,Dahlonega,GA,30533,Dahlonega Assisted Living And Memory Care,$50/mo,5.2,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/dahlonega-assisted-living-and-memory-care
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,New Hankook Senior Care Home,634 Crown Mountain Drive,Dahlonega,GA,30533,Assisted Living,"$4,040/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/sonshine-manor
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Avita Intensive Treatment Residence,185 Goudlock Street,Dahlonega,GA,30533,Assisted Living,"$2,970/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/avita-intensive-treatment-residence
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Gold City Personal Care Home,350 Moores Drive,Dahlonega,GA,30533,Assisted Living,"$4,010/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/gold-city-pch
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Foothills II Retirement Home,148 Glenn Head Road,Dahlonega,GA,30533,"Assisted Living , Board and Care Home","$2,900/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/foothills-ii-retirement-home
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Northwoods Retirement Home,54 Northwoods Drive,Dahlonega,GA,30533,Assisted Living,"$3,240/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/northwoods-retirement-home
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Dogwood Bluff,266 Pony Lake Lane,Dahlonega,GA,30533,"Assisted Living , Board and Care Home","$3,410/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/dogwood-bluff
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Foothills Retirement Home,264 Myers And Chance Road,Dahlonega,GA,30533,Assisted Living,"$2,620/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/foothills-retirement-home-dahlonega
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Heritage House Senior Living,1608 Black Mountain Road,Dahlonega,GA,30533,Assisted Living,"$2,820/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/heritage-house-senior-living
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Teems Place,93 Chase Run Road,Dahlonega,GA,30533,Assisted Living,"$3,890/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/dahlonega/teems-place
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Whispering Willow,50 Tanglewood Drive,Dawsonville,GA,30534,"Assisted Living , Memory Care","$3,500/mo",7.3,No,No,https://www.seniorly.com/assisted-living/georgia/dawsonville/tanglewood-personal-care-home
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Alana & Co,594 Silver Falls Road,Cleveland,GA,30528,Assisted Living,"$3,900/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/cleveland/alana-co
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Royal Living Personal Care Home,2106 Frank Bruce Road,Dawsonville,GA,30534,"Assisted Living , Board and Care Home","$3,500/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/dawsonville/royal-living-pch
https://www.seniorly.com/assisted-living/georgia/dahlonega,1,Resting Nest,4884 PRICE ROAD,Gainesville,GA,30506,"Assisted Living , Board and Care Home","$3,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/gainesville/resting-nest
