city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/georgia/dearing,1,West Forrest,280 West Forrest Street,Harlem,GA,30814,"Assisted Living , Board and Care Home","$3,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/harlem/west-forrest
https://www.seniorly.com/assisted-living/georgia/dearing,1,Watson Manor,115 Watson Street,Thomson,GA,30824,"Assisted Living , Board and Care Home","$3,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/watson-manor
https://www.seniorly.com/assisted-living/georgia/dearing,1,Carolyn Lake Health Care,1673 Carolyn Lake Circle,Thomson,GA,30824,Assisted Living,"$3,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/carolyn-lake-health-care
https://www.seniorly.com/assisted-living/georgia/dearing,1,Mt Pleasant Alternative Care,311 Johnson Avenue,Thomson,GA,30824,"Assisted Living , Board and Care Home","$3,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/mt-pleasant-alternative-care
https://www.seniorly.com/assisted-living/georgia/dearing,1,Home Away From Home I,1218 Miles Road,Harlem,GA,30814,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/harlem/home-away-from-home-i
https://www.seniorly.com/assisted-living/georgia/dearing,1,Harlem - Community Living Arrangement Home,6192 Old Union Road,Harlem,GA,30814,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/harlem/harlem-community-living-arrangement-home
https://www.seniorly.com/assisted-living/georgia/dearing,1,Carolyn Lake Healthcare II,1669 Carolyn Lake Circle,Thomson,GA,30824,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/carolyn-lake-healthcare-ii
https://www.seniorly.com/assisted-living/georgia/dearing,1,Mcelrath'S Personal Touch Care Home,760 Old Milledgeville Road,Thomson,GA,30824,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/mcelrath-s-personal-touch-care-home
https://www.seniorly.com/assisted-living/georgia/dearing,1,At Home Senior Living of Thomson,150 Heritage Lane Northwest,Thomson,GA,30824,Assisted Living,,3.6,No,No,https://www.seniorly.com/assisted-living/georgia/thomson/at-home-senior-living-of-thomson
https://www.seniorly.com/assisted-living/georgia/dearing,1,Smith's Personal Care Home,5432 Old Augusta Highway,Grovetown,GA,30813,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/grovetown/smith-s-personal-care-home-grovetown
https://www.seniorly.com/assisted-living/georgia/dearing,1,Care Givers & More Elderly Care Services,6602 Shucraft Road,Appling,GA,30802,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/appling/care-givers-more-elderly-care-services
https://www.seniorly.com/assisted-living/georgia/dearing,1,Oakwood Court,700 Oakwood Court,Grovetown,GA,30813,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/grovetown/oakwood-court-grovetown
https://www.seniorly.com/assisted-living/georgia/dearing,1,Cannock Street,906 Cannock Street,Grovetown,GA,30813,Assisted Living,"$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/grovetown/cannock-street
