city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/georgia/sparks,1,Brighter Day Personal Care Home,503 South Goodman Street,Sparks,GA,31647,"Assisted Living , Board and Care Home","$3,780/mo",5.5,No,No,https://www.seniorly.com/assisted-living/georgia/sparks/golden-retreat
https://www.seniorly.com/assisted-living/georgia/sparks,1,Sparks Retirement Home,304 South Goodman Street,Sparks,GA,31647,Assisted Living,"$3,780/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/sparks/sparks-retirement-home
https://www.seniorly.com/assisted-living/georgia/sparks,1,Serenity,206 Pine Street,Sparks,GA,31647,"Assisted Living , Board and Care Home","$3,780/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/sparks/serenity
https://www.seniorly.com/assisted-living/georgia/sparks,1,The Rachel House,204 West Colquitt Street,Sparks,GA,31647,"Assisted Living , Board and Care Home","$3,780/mo",4.8,No,No,https://www.seniorly.com/assisted-living/georgia/sparks/rachel-house-the
https://www.seniorly.com/assisted-living/georgia/sparks,1,Mary's Haven Personal Care Home,310 South Hutchinson Avenue,Adel,GA,31620,"Assisted Living , Board and Care Home","$4,000/mo",6.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/mary-s-haven
https://www.seniorly.com/assisted-living/georgia/sparks,1,Growth Bridge Sparks PCH,204 South Goodman Street,Sparks,GA,31647,"Assisted Living , Board and Care Home","$3,780/mo",3.6,No,No,https://www.seniorly.com/assisted-living/georgia/sparks/growth-bridge-sparks-personal-care-home
https://www.seniorly.com/assisted-living/georgia/sparks,1,New Haven,615 South Hutchinson Avenue,Adel,GA,31620,Assisted Living,"$4,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/new-haven-adel-615-s-hutchinson-avenue
https://www.seniorly.com/assisted-living/georgia/sparks,1,Corner Leaf Personal Care Home,615 Holiday Street,Adel,GA,31620,Assisted Living,"$4,000/mo",3.6,No,No,https://www.seniorly.com/assisted-living/georgia/adel/corner-leaf-personal-care-home
https://www.seniorly.com/assisted-living/georgia/sparks,1,Heritage House,111 West 7th Street,Adel,GA,31620,Assisted Living,"$4,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/heritage-house-adel
https://www.seniorly.com/assisted-living/georgia/sparks,1,Heritage House Of Virginia At Wyoming,106 Wyoming Street,Adel,GA,31620,Assisted Living,"$4,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/heritage-house-of-virginia-at-wyoming
https://www.seniorly.com/assisted-living/georgia/sparks,1,Groves Home,2710 Thomas Street,Adel,GA,31620,Assisted Living,"$4,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/groves-home
https://www.seniorly.com/assisted-living/georgia/sparks,1,West 500,500 West 5th Street,Adel,GA,31620,Assisted Living,"$4,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/georgia/adel/west-500
