city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Bickford of Peoria,2000 West Willow Knolls Drive,Peoria,IL,61614,"Assisted Living , Memory Care , Independent Living","$2,890/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/peoria/bickford-of-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Heartis Peoria,8201 North IL Route 91,Peoria,IL,61615,"Assisted Living , Memory Care","$4,200/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/peoria/heartis-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Serenity,4000 North Main Street,East Peoria,IL,61611,"Assisted Living , Memory Care","$3,100/mo",8.6,No,No,https://www.seniorly.com/assisted-living/illinois/east-peoria/serenity-assisted-living-east-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Villas of Holly Brook East Peoria,1000 Centennial Drive,East Peoria,IL,61611,"Assisted Living , Memory Care","$4,700/mo",8.4,No,No,https://www.seniorly.com/assisted-living/illinois/east-peoria/villas-of-holly-brook-east-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Charter Senior Living of Pekin,2700 South 14th Street,Pekin,IL,61544,Assisted Living,"$5,340/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/illinois/pekin/cedarhurst-of-pekin
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Simple Blessings Senior Living,1511 North Bigelow Street,Peoria,IL,61604,"Assisted Living , Board and Care Home","$1,395/mo",9.7,No,No,https://www.seniorly.com/assisted-living/illinois/peoria/liberty-estate-senior-living
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Grand Regency of Peoria,117 Northwestern Avenue,Peoria,IL,61604,Assisted Living,"$4,090/mo",8.4,No,No,https://www.seniorly.com/assisted-living/illinois/peoria/grand-regency-of-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Charter Senior Living of Washington,100 Grand Victorian Place,Washington,IL,61571,Assisted Living,"$4,900/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/washington/cedarhurst-of-washington
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Hawthorne Inn of Peoria,6906 North Stalworth Drive,Peoria,IL,61615,"Assisted Living , Memory Care , Skilled Nursing Facility","$3,710/mo",8.6,No,No,https://www.seniorly.com/assisted-living/illinois/peoria/liberty-village-of-peoria
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,GateWay at River City,518 West Romeo B Garrett Avenue,Peoria,IL,61605,"Assisted Living , Independent Living","$3,980/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/illinois/peoria/gate-way-at-river-city
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,The Villas Of Holly Brook Pekin,2720 South 14th Street,Pekin,IL,61554,"Assisted Living , Memory Care","$4,560/mo",,No,No,https://www.seniorly.com/assisted-living/illinois/pekin/the-villas-of-holly-brook-pekin
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Villas of Holly Brook Bellevue,5301 West Everett M. Dirksen Parkway,Peoria,IL,61607,"Assisted Living , Memory Care","$4,210/mo",6.4,No,No,https://www.seniorly.com/assisted-living/illinois/peoria/villas-of-holly-brook-bellevue
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Villas Of Holly Brook Washington,1285 Independence Court,Washington,IL,61571,"Assisted Living , Memory Care","$4,900/mo",7.3,No,No,https://www.seniorly.com/assisted-living/illinois/washington/villas-of-holly-brook-washington
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Reflections Memory Care Washington,1280 Independence Court,Washington,IL,61571,Reflections Memory Care Washington,"$4,000/mo",6.8,No,No,https://www.seniorly.com/assisted-living/illinois/washington/reflections-memory-care-washington
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Chapters Living of Washington,1150 Newcastle Road,Washington,IL,61571,"Assisted Living , Skilled Nursing Facility","$4,900/mo",3.6,No,No,https://www.seniorly.com/assisted-living/illinois/washington/chapters-living-of-washington
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,John M. Evans Supportive Living Community,1320 Executive Court,Pekin,IL,61554,Assisted Living,"$3,940/mo",6.4,No,No,https://www.seniorly.com/assisted-living/illinois/pekin/john-m-evans-supportive-living-community
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Villas of Holly Brook Morton,1717 North Main Street,Morton,IL,61550,"Assisted Living , Memory Care","$4,950/mo",3.6,No,No,https://www.seniorly.com/assisted-living/illinois/morton/reflections-memory-care-morton
https://www.seniorly.com/assisted-living/illinois/east-peoria,1,Paisley Manor,2949 South 14th Street,Pekin,IL,61554,Assisted Living,,3.6,No,No,https://www.seniorly.com/assisted-living/illinois/pekin/paisley-manor
