city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Sunrise Of Schaumburg,790 North Plum Grove Road,Schaumburg,IL,60173,"Assisted Living , Memory Care","$6,749/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/schaumburg/sunrise-of-schaumburg
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Mount Prospect Senior Living,1111 South Linneman Road,Mount Prospect,IL,60056,"Assisted Living , Memory Care","$4,798/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/mt-prospect/mount-prospect-senior-living
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Discovery Village Hoffman Estates,1515 Barrington Road,Hoffman Estates,IL,60169,"Assisted Living , Independent Living","$3,045/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/hoffman-estates/discovery-village-hoffman-estates
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Sunrise Of Bloomingdale,129 East Lake Street,Bloomingdale,IL,60108,"Assisted Living , Memory Care","$6,414/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/bloomingdale/sunrise-of-bloomingdale
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Westbrook Senior Living,110 West Schaumburg Road,Streamwood,IL,60107,"Assisted Living , Memory Care , Independent Living","$3,465/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/illinois/streamwood/westbrook-senior-living
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Sunrise of Prospect Heights,708 North Elmhurst Road,Prospect Heights,IL,60070,"Assisted Living , Memory Care , Independent Living","$4,742/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/prospect-heights/aspired-living-of-prospect-heights
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Clarendale of Addison,1651 West Lake Street,Addison,IL,60101,"Assisted Living , Memory Care , Independent Living","$4,223/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/illinois/addison/clarendale-addison
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Deer Park Village Senior Living,21840 West Lake Cook Road,Deer Park,IL,60010,"Assisted Living , Memory Care , Independent Living","$5,760/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/illinois/barrington/deer-park-village
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Church Creek,1250 West Central Road,Arlington Heights,IL,60005,"Assisted Living , Memory Care , Independent Living","$1,600/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/arlington-heights/church-creek
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,The Indigo at Bartlett,1035 Illinois Route 59,Bartlett,IL,60103,"Assisted Living , Memory Care","$5,500/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/illinois/bartlett/the-indigo-at-bartlett
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,The Radcliff,276 East Irving Park Road,Wood Dale,IL,60191,"Assisted Living , Memory Care , Independent Living","$4,400/mo",8.6,No,No,https://www.seniorly.com/assisted-living/illinois/wood-dale/the-radcliff-at-wood-dale
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Hearthstone of Arlington Heights,800 West Oakton Street,Arlington Heights,IL,60004,"Assisted Living , Memory Care , Skilled Nursing Facility","$6,895/mo",,No,No,https://www.seniorly.com/assisted-living/illinois/arlington-heights/lutheran-home
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Plum Creek Supportive Living,2801 West Algonquin Road,Rolling Meadows,IL,60008,Assisted Living,,9.3,Yes,No,https://www.seniorly.com/assisted-living/illinois/rolling-meadows/plum-creek
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Eden Vista Hoffman Estates,2150 West Golf Road,Hoffman Estates,IL,60169,"Assisted Living , Memory Care","$5,300/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/illinois/hoffman-estates/charter-senior-living-of-poplar-creek
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Eden Vista Barrington,510 West Northwest Highway,Barrington,IL,60010,"Assisted Living , Memory Care","$5,046/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/illinois/barrington/eden-vista-barrington
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Bridgeway of Bensenville,303 East Washington Street,Bensenville,IL,60106,"Assisted Living , Memory Care , Independent Living","$5,810/mo",,No,No,https://www.seniorly.com/assisted-living/illinois/bensenville/bridgeway-of-bensenville-bensenville
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Victory Centre of Elk Grove,975 Martha Street,Elk Grove Village,IL,60007,"Assisted Living , Independent Living","$5,564/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/illinois/elk-grove-village/victory-centre-of-elk-groves
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Generations at Oakton Arms,1665 Oakton Place,Des Plaines,IL,60018,Assisted Living,"$5,280/mo",7.3,No,No,https://www.seniorly.com/assisted-living/illinois/des-plaines/generations-at-oakton-arms
https://www.seniorly.com/assisted-living/illinois/schaumburg,1,Golden Haven Senior Living,809 North Central Avenue,Addison,IL,60101,"Assisted Living , Board and Care Home","$3,700/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/illinois/addison/golden-haven-senior-living
https://www.seniorly.com/assisted-living/illinois/schaumburg,2,Eden Vista Prospect Heights,700 Euclid Avenue,Prospect Heights,IL,60070,"Assisted Living , Memory Care , Skilled Nursing Facility","$3,800/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/illinois/prospect-heights/dimensions-living-prospect-heights
