city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/missouri/grandview,1,Brookdale Wornall Place,501 West 107th Street,Kansas City,MO,64114,"Assisted Living , Independent Living","$2,700/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/brookdale-wornall-place
https://www.seniorly.com/assisted-living/missouri/grandview,1,Village At Carroll Park,5301 Harry Truman Drive,Grandview,MO,64030,Assisted Living,"$7,920/mo",7.7,No,No,https://www.seniorly.com/assisted-living/missouri/grandview/village-at-carroll-park
https://www.seniorly.com/assisted-living/missouri/grandview,1,SageGrove at Raymore,2100 Johnston Drive,Raymore,MO,64083,"Assisted Living , Memory Care","$5,900/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/missouri/raymore/benton-house-of-raymore
https://www.seniorly.com/assisted-living/missouri/grandview,1,Serenity Rehabilitation And Nursing Kansas City,12942 Wornall Road,Kansas City,MO,64145,Assisted Living,"$6,400/mo",,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/serenity-rehabilitation-and-nursing-kansas-city
https://www.seniorly.com/assisted-living/missouri/grandview,1,Carnegie Village Senior Living Community,103 Bernard Drive,Belton,MO,64012,"Assisted Living , Memory Care , Independent Living","$4,840/mo",,No,No,https://www.seniorly.com/assisted-living/missouri/belton/carnegie-village-senior-living-community-belton
https://www.seniorly.com/assisted-living/missouri/grandview,1,Summit View Terrace,12101 East Bannister Road,Kansas City,MO,64138,Assisted Living,"$6,400/mo",,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/summitview-terrace-assisted-living-by-americare
https://www.seniorly.com/assisted-living/missouri/grandview,1,The Madison Senior Living,14001 Madison Avenue,Kansas City,MO,64145,"Assisted Living , Memory Care , Independent Living","$4,830/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/the-madison-senior-living
https://www.seniorly.com/assisted-living/missouri/grandview,1,Carnegie Village Senior Living Community,107 Bernard Drive,Belton,MO,64012,"Assisted Living , Independent Living","$4,250/mo",5.2,No,No,https://www.seniorly.com/assisted-living/missouri/belton/carnegie-village-senior-living-community
https://www.seniorly.com/assisted-living/missouri/grandview,1,Beautiful Savior Lutheran Home,1003 South Cedar Street,Belton,MO,64012,"Assisted Living , Skilled Nursing Facility","$4,810/mo",4.8,No,No,https://www.seniorly.com/assisted-living/missouri/belton/beautiful-savior-lutheran-home
https://www.seniorly.com/assisted-living/missouri/grandview,1,Waterford South,11515 Holmes Road,Kansas City,MO,64131,Assisted Living,"$4,830/mo",7.3,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/waterford-south
https://www.seniorly.com/assisted-living/missouri/grandview,1,Trustwell Living Raytown,9110 East 63rd Road Street,Raytown,MO,64133,Assisted Living,"$6,200/mo",4.5,Yes,No,https://www.seniorly.com/assisted-living/missouri/raytown/trustwell-living-raytown
https://www.seniorly.com/assisted-living/missouri/grandview,1,Carondelet Manor,621 Carondelet Drive,Kansas City,MO,64114,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/carondelet-manor
https://www.seniorly.com/assisted-living/missouri/grandview,1,Bridgewood Health Care Center,11515 Troost,Kansas City,MO,64131,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/bridgewood-health-care-center
https://www.seniorly.com/assisted-living/missouri/grandview,1,Timberlake Care Center,12110 Holmes Road,Kansas City,MO,64145,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/timberlake-care-center
https://www.seniorly.com/assisted-living/missouri/grandview,1,St Anthony's,1010 East 68Th Street,Kansas City,MO,64131,Assisted Living,"$4,830/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/st-anthony-s
https://www.seniorly.com/assisted-living/missouri/grandview,1,Redwood Of Kansas City South,8033 Holmes,Kansas City,MO,64131,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.6,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/redwood-of-kansas-city-south
https://www.seniorly.com/assisted-living/missouri/grandview,1,Village Assisted Living,1704 Northwest O'brien Road,Lees Summit,MO,64081,Village Assisted Living,"$6,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/lees-summit/village-assisted-living-lees-summit
https://www.seniorly.com/assisted-living/missouri/grandview,1,Gregory Ridge Health Care Center,7001 Cleveland Avenue,Kansas City,MO,64132,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/gregory-ridge-health-care-center
https://www.seniorly.com/assisted-living/missouri/grandview,1,Edgewood Manor Center For Rehab And Healthcare,11900 Jessica Lane,Raytown,MO,64138,"Assisted Living , Skilled Nursing Facility","$6,200/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/raytown/edgewood-manor-center-for-rehab-and-healthcare
https://www.seniorly.com/assisted-living/missouri/grandview,1,Swope Ridge Geriatric Center,5900 Swope Parkway,Kansas City,MO,64130,"Assisted Living , Skilled Nursing Facility","$6,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/swope-ridge-geriatric-center
https://www.seniorly.com/assisted-living/missouri/grandview,2,Butterfly Haven,11500 Campbell Street,Kansas City,MO,64131,"Assisted Living , Board and Care Home","$4,830/mo",4.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/butterfly-haven
https://www.seniorly.com/assisted-living/missouri/grandview,2,Carnegie Village Rehab,Carnegie Village,Belton,MO,64012,Assisted Living,"$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/belton/carnegie-village-rehab
https://www.seniorly.com/assisted-living/missouri/grandview,2,Hope Care Center,115 East 83Rd Street,Kansas City,MO,64114,"Assisted Living , Skilled Nursing Facility","$4,830/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/hope-care-center
https://www.seniorly.com/assisted-living/missouri/grandview,2,Bristol Manor Of Raymore,604 East Sunrise Drive,Raymore,MO,64083,"Assisted Living , Board and Care Home","$4,500/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/raymore/bristol-manor-of-raymore
https://www.seniorly.com/assisted-living/missouri/grandview,2,Bristol Manor - Raymore,Bristol Manor 604 East Sunrise Drive Raymore MO,Raymore,MO,64083,Assisted Living,"$4,500/mo",3.8,No,No,https://www.seniorly.com/assisted-living/missouri/raymore/bristol-manor-raymore
https://www.seniorly.com/assisted-living/missouri/grandview,2,Harris House Residential Care Facility,3859 East 59th Terrace,Kansas City,MO,64130,"Assisted Living , Board and Care Home","$4,830/mo",3.6,No,No,https://www.seniorly.com/assisted-living/missouri/kansas-city/harris-house-residential-care-facility
