city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Sunrise of Bridgewater,390 US Route 22 East,Bridgewater,NJ,08807,"Assisted Living , Memory Care","$8,998/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/sunrise-of-bridgewater
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Sunrise Assist Living of East Brunswick,190 Summerhill Road,East Brunswick,NJ,08816,"Assisted Living , Memory Care","$7,691/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/east-brunswick/sunrise-of-east-brunswick
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Brookdale Hillsborough,600 Auten Road,Hillsborough,NJ,08844,"Assisted Living , Memory Care","$6,345/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/hillsborough/brookdale-hillsborough
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Spring Hills at Somerset,473 Demott Lane,Somerset,NJ,08873,"Assisted Living , Memory Care","$5,200/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/somerset/spring-hills-at-somerset
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Brandywine Living at Mountain Ridge,680 Mountain Boulevard,Watchung,NJ,07069,"Assisted Living , Memory Care","$7,500/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/watchung/brandywine-living-at-mountain-ridge
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Graceland Gardens,1628 State Rt. 27,North Brunswick,NJ,08902,Assisted Living,"$8,500/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/new-jersey/north-brunswick/graceland-gardens-assisted-living
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,The Delaney of Bridgewater,901 Frontier Road,Bridgewater,NJ,08807,"Assisted Living , Memory Care , Independent Living","$8,190/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/bound-brook/delaney-of-bridgewater
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,The Bristal at Somerset,1870 Easton Avenue,Somerset,NJ,08873,"Assisted Living , Memory Care , Independent Living","$6,700/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/new-york/somerset/the-bristal-at-somerset
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,All American Assisted Living at Hillsborough,351 US Highway 206,Hillsborough Township,NJ,08844,All American Assisted Living at Hillsborough,"$9,020/mo",9.5,No,No,https://www.seniorly.com/assisted-living/new-jersey/hillsborough/all-american-assisted-living-at-hillsborough
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,The Avalon at Hillsborough,393 Amwell Road,Hillsborough,NJ,08844,"Assisted Living , Memory Care","$5,400/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/hillsborough/avalon-assisted-living-at-hillsborough
https://www.seniorly.com/assisted-living/new-jersey/franklin-township,1,Mira Vie At Green Knoll,680 Route 202/206 North,Bridgewater,NJ,08807,"Assisted Living , Memory Care","$4,950/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/mira-vie-at-green-knoll
