city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/ohio/mason,1,The Summit of Blue Ash,4351 Sycamore Creek Drive,Blue Ash,OH,45242,"Assisted Living , Memory Care , Independent Living","$3,049/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/blue-ash/the-summit-of-blue-ash
https://www.seniorly.com/assisted-living/ohio/mason,1,Montage Mason,5373 Merten Drive,Mason,OH,45040,"Assisted Living , Memory Care","$4,395/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/mason/montage-mason
https://www.seniorly.com/assisted-living/ohio/mason,1,Brookdale Kenwood,9090 Montgomery,Cincinnati,OH,45242,"Assisted Living , Memory Care","$5,320/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/cincinnati/brookdale-kenwood
https://www.seniorly.com/assisted-living/ohio/mason,1,The Landing Of Long Cove,5535 Irwin Simpson Road,Mason,OH,45040,"Assisted Living , Memory Care","$5,300/mo",,No,No,https://www.seniorly.com/assisted-living/ohio/mason/the-landing-of-long-cove
https://www.seniorly.com/assisted-living/ohio/mason,1,Barrington Of West Chester,7222 Heritagespring Drive,West Chester,OH,45069,Assisted Living,"$3,780/mo",9.6,No,No,https://www.seniorly.com/assisted-living/ohio/west-chester/barrington-of-west-chester
https://www.seniorly.com/assisted-living/ohio/mason,1,Central Parke Memory Care & Transitional Assisted Living,7495 Central Parke Boulevard,Mason,OH,45040,Central Parke Memory Care & Transitional Assisted Living,"$4,400/mo",7.3,No,No,https://www.seniorly.com/assisted-living/ohio/mason/central-parke-alzheimer-s-special-care-center
https://www.seniorly.com/assisted-living/ohio/mason,1,Lodge Retirement Community,12050 Montgomery Road,Cincinnati,OH,45249,"Assisted Living , Independent Living","$4,100/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/ohio/cincinnati/lodge-retirement-community
https://www.seniorly.com/assisted-living/ohio/mason,1,Mason Assisted Living & Memory Care,5225 Cox Smith Road,Mason,OH,45040,Mason Assisted Living & Memory Care,"$3,650/mo",9.1,No,No,https://www.seniorly.com/assisted-living/ohio/mason/mason-assisted-living-memory-care
https://www.seniorly.com/assisted-living/ohio/mason,1,StoryPoint West Chester Township,5531 Chappell Crossing Boulevard,West Chester Township,OH,45069,"Assisted Living , Memory Care","$4,800/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/ohio/west-chester-township/storypoint-west-chester-township
https://www.seniorly.com/assisted-living/ohio/mason,1,Magnolia Springs Loveland,767 Loveland-Miamiville Road,Loveland,OH,45140,"Assisted Living , Memory Care","$4,800/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/ohio/loveland/magnolia-springs-loveland
https://www.seniorly.com/assisted-living/ohio/mason,1,Liberty Station Health Campus,5348 Newtown Drive,Liberty Township,OH,45011,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$3,940/mo",8.9,No,No,https://www.seniorly.com/assisted-living/ohio/liberty-township/liberty-station-health-campus
https://www.seniorly.com/assisted-living/ohio/mason,1,Spring Hills Middletown,3851 Towne Boulevard,Franklin,OH,45005,"Assisted Living , Memory Care","$4,500/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/franklin/spring-hills-middletown
