city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/oregon/damascus,1,Russellville Park,20 Southeast 103rd Avenue,Portland,OR,97216,"Assisted Living , Memory Care , Independent Living","$9,000/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/oregon/portland/russellville-park
https://www.seniorly.com/assisted-living/oregon/damascus,1,The Estates at Town Center,8709 Southeast Causey Avenue,Happy Valley,OR,97086,"Assisted Living , Independent Living","$2,180/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/oregon/happy-valley/the-forum-at-town-center
https://www.seniorly.com/assisted-living/oregon/damascus,1,Courtyard Fountains,1545 Southeast 223rd Avenue,Gresham,OR,97030,"Assisted Living , Independent Living","$6,000/mo",9.8,No,No,https://www.seniorly.com/assisted-living/oregon/gresham/courtyard-fountains-assisted-living-community
https://www.seniorly.com/assisted-living/oregon/damascus,1,Princeton Village by Cogir,14370 Southeast Oregon Trail Drive,Clackamas,OR,97015,Assisted Living,"$6,200/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/oregon/clackamas/princeton-village-assisted-living
https://www.seniorly.com/assisted-living/oregon/damascus,1,Arcadia Senior Living,13031 Southeast Foster Road,Portland,OR,97236,Assisted Living,"$5,461/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/oregon/portland/arcadia-senior-living
https://www.seniorly.com/assisted-living/oregon/damascus,1,The Springs At Happy Valley,13160 Southeast 172nd Avenue,Happy Valley,OR,97086,"Assisted Living , Memory Care , Independent Living","$6,400/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/oregon/happy-valley/the-springs-at-happy-valley
https://www.seniorly.com/assisted-living/oregon/damascus,1,CherryWood Village,1417 Southeast 107th Avenue,Portland,OR,97216,"Assisted Living , Memory Care , Independent Living","$9,000/mo",9.7,No,No,https://www.seniorly.com/assisted-living/oregon/portland/cherrywood-village
https://www.seniorly.com/assisted-living/oregon/damascus,1,Miramont Pointe Senior Living,11520 Southeast Sunnyside Road,Clackamas,OR,97015,"Assisted Living , Memory Care , Independent Living","$6,200/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/oregon/clackamas/miramont-pointe-senior-living
https://www.seniorly.com/assisted-living/oregon/damascus,1,The Springs at Sunnyside,14391 Southeast Princeton Village Way,Happy Valley,OR,97015,"Assisted Living , Memory Care","$7,310/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/oregon/happy-valley/the-springs-at-sunnyside
https://www.seniorly.com/assisted-living/oregon/damascus,1,The Springs at Clackamas Woods,14404 Southeast Webster Road,Milwaukie,OR,97269,"Assisted Living , Memory Care , Independent Living","$3,124/mo",9.3,No,No,https://www.seniorly.com/assisted-living/oregon/milwaukie/the-springs-at-clackamas-woods
