city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Touchmark At All Saints,111 West 17th,Sioux Falls,SD,57104,"Assisted Living , Memory Care , Independent Living","$5,500/mo",9.7,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/touchmark-at-all-saints
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Edgewood Prairie Crossings,1810 South Dorothy Avenue,Sioux Falls,SD,57106,Assisted Living,"$5,400/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/edgewood-prairie-crossings-sioux-falls
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Stoneybrook Suites IV,4501 East Pampas,Sioux Falls,SD,57110,Assisted Living,"$5,190/mo",8.6,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/stoneybrook-suites-iv
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Ponderosa Lodge Senior Living,7400 South Louise Avenue,Sioux Falls,SD,57108,"Assisted Living , Independent Living","$5,690/mo",,Yes,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/ponderosa-lodge-senior-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Tea Retirement Living,540 Morgan Lane,Tea,SD,57064,Assisted Living,"$3,630/mo",5.5,No,No,https://www.seniorly.com/assisted-living/south-dakota/tea/morgan-lane-village
https://www.seniorly.com/assisted-living/south-dakota/tea,1,The Inn On Westport Senior Living,4000 South Westport Avenue,Sioux Falls,SD,57106,"Assisted Living , Memory Care , Independent Living","$4,910/mo",6.4,Yes,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/the-inn-on-westport-senior-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Dow Rummel Village I,1321 west dow rummel street,Sioux Falls,SD,57104,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$5,060/mo",6.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/dow-rummel-village-i
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Edgewood Sioux Falls Senior Living,3401 Ralph Rogers Road,Sioux Falls,SD,57108,Assisted Living,"$5,700/mo",7.7,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/edgewood-sioux-falls-senior-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Trail Ridge Retirement Community Alc,3408 West Ralph Rogers Road,Sioux Falls,SD,57108,"Assisted Living , Memory Care , Independent Living","$4,790/mo",4.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/trail-ridge-retirement-community-alc
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Legends on Lake Lorraine,2815 South Westlake Drive,Sioux Falls,SD,57106,"Assisted Living , Memory Care , Independent Living","$5,150/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/grand-living-at-lake-lorraine
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Laurel Oaks Apartments,4510 Prince Of Peace Place,Sioux Falls,SD,57103,Assisted Living,"$5,380/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/laurel-oaks-apartments
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Good Samaritan Society-Prairie Creek Assisted Living,4312 West Creekside Circle,Sioux Falls,SD,57106,Good Samaritan Society-Prairie Creek Assisted Living,"$5,250/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/good-samaritan-society-prairie-creek-assisted-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Good Samaritan Society Prairie Creek Memory Care Assisted Living,4309 West Creekside Circle,Sioux Falls,SD,57106,Good Samaritan Society Prairie Creek Memory Care Assisted Living,"$5,730/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/good-samaritan-society-prairie-creek-memory-care-assisted-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Good Samaritan Society - Sioux Falls Hearthstone Assisted Living,4001 South Marion Road,Sioux Falls,SD,57106,Good Samaritan Society - Sioux Falls Hearthstone Assisted Living,"$5,500/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/good-samaritan-society-sioux-falls-hearthstone-assisted-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Bethany Home Sioux Falls,1901 South Holly Avenue,Sioux Falls,SD,57105,"Assisted Living , Skilled Nursing Facility","$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/bethany-home-sioux-falls
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Lennox Assisted Living,210 South Lincoln Street,Lennox,SD,57039,Lennox Assisted Living,"$3,550/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/lennox/lennox-assisted-living
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Avera Prince Of Peace - The Lofts,4513 Prince Of Peace Place,Sioux Falls,SD,57103,Assisted Living,"$5,630/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/avera-prince-of-peace-the-lofts
https://www.seniorly.com/assisted-living/south-dakota/tea,1,Avera Prince Of Peace Retirement Community - Oakwood,4504 Prince Of Peace Place,Sioux Falls,SD,57103,Assisted Living,"$5,690/mo",3.8,No,No,https://www.seniorly.com/assisted-living/south-dakota/sioux-falls/avera-prince-of-peace-retirement-community-oakwood
