city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/washington/bellingham,1,Spring Creek By Bonaventure,223 East Bakerview Road,Bellingham,WA,98226,"Assisted Living , Memory Care , Independent Living","$4,600/mo",9.5,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/spring-creek-retirement-assisted-living-community
https://www.seniorly.com/assisted-living/washington/bellingham,1,Lake Whatcom Residential & Treatment Center,3400 Agate Heights Road,Bellingham,WA,98226,"Assisted Living , Memory Care , Independent Living","$4,000/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/washington/bellingham/lake-whatcom-residential-treatment-center
https://www.seniorly.com/assisted-living/washington/bellingham,1,Cordata Court,4415 Columbine Drive,Bellingham,WA,98226,"Assisted Living , Independent Living","$4,950/mo",8.2,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/cordata-court
https://www.seniorly.com/assisted-living/washington/bellingham,1,Brookdale Fairhaven,2600 Old Fairhaven Parkway,Bellingham,WA,98225,Assisted Living,"$6,455/mo",9.3,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/brookdale-fairhaven
https://www.seniorly.com/assisted-living/washington/bellingham,1,Rosewood Villa,702 32nd Street,Bellingham,WA,98225,Assisted Living,"$3,914/mo",6.8,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/rosewood-villa-llc
https://www.seniorly.com/assisted-living/washington/bellingham,1,Highgate at Bellingham,155 East Kellogg Road,Bellingham,WA,98226,"Assisted Living , Memory Care","$4,600/mo",,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/highgate-at-bellingham
https://www.seniorly.com/assisted-living/washington/bellingham,1,Orchard Park Assisted Living Bellingham,844 West Orchard Drive,Bellingham,WA,98225,Orchard Park Assisted Living Bellingham,"$4,600/mo",4.8,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/orchard-park-assisted-living-bellingham
https://www.seniorly.com/assisted-living/washington/bellingham,1,Avista Assisted Living Ferndale,2240 Main Street,Ferndale,WA,98248,Avista Assisted Living Ferndale,"$4,800/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/washington/ferndale/avista-assisted-living-ferndale
https://www.seniorly.com/assisted-living/washington/bellingham,1,Woodway Senior Living,1712 East MAPLEWOOD Avenue,Bellingham,WA,98225,Assisted Living,"$3,100/mo",5.5,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/woodway-senior-living
https://www.seniorly.com/assisted-living/washington/bellingham,1,AvilaCare Bellingham,2315 Williams Street,Bellingham,WA,98225,Assisted Living,"$3,100/mo",4.8,Yes,No,https://www.seniorly.com/assisted-living/washington/bellingham/avilacare-bellingham
https://www.seniorly.com/assisted-living/washington/bellingham,1,Alabama House,3630 Alabama Street,Bellingham,WA,98226,"Assisted Living , Board and Care Home","$3,100/mo",3.8,No,No,https://www.seniorly.com/assisted-living/washington/bellingham/alabama-house
https://www.seniorly.com/assisted-living/washington/bellingham,1,Grace Retirement Home,2543 Mountain View Road,Ferndale,WA,98248,"Assisted Living , Board and Care Home","$3,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/washington/ferndale/grace-retirement-home-llc
