city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Cedar Ridge By Bonaventure,9515 198th Avenue East,Bonney Lake,WA,98391,"Assisted Living , Memory Care , Independent Living","$4,000/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/washington/bonney-lake/cedar-ridge-retirement-assisted-living-community
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,The Rivers At Puyallup,123 4th Avenue NW,Puyallup,WA,98371,"Assisted Living , Memory Care","$3,490/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/washington/puyallup/the-rivers-at-puyallup
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Meridian At Stone Creek,1111 South 376th Street,Milton,WA,98354,"Assisted Living , Memory Care , Independent Living","$2,900/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/washington/milton/the-meridian-at-stone-creek
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Merrill Gardens At Auburn,18 1st Street Southeast,Auburn,WA,98002,"Assisted Living , Memory Care , Independent Living","$2,995/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/washington/auburn/merrill-gardens-at-auburn
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Avista Assisted Living Sumner,5713 Parker Road,Sumner,WA,98390,Avista Assisted Living Sumner,"$3,800/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/washington/sumner/avista-assisted-living-sumner
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Brookdale Courtyard Puyallup,4610 6th Street Place Southeast,Puyallup,WA,98374,Assisted Living,"$4,875/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/washington/puyallup/brookdale-courtyard-puyallup
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,White River Assisted Living,2229 Jensen Street,Enumclaw,WA,98022,White River Assisted Living,"$3,370/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/washington/enumclaw/white-river-assisted-living
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Fieldstone Memory Care of Puyallup,2121 South Meridian,Puyallup,WA,98371,Fieldstone Memory Care of Puyallup,"$4,000/mo",7.3,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/fieldstone-memory-care-of-puyallup
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Mill Ridge Village,607 28Th Avenue,Milton,WA,98354,Assisted Living,"$4,500/mo",7.7,No,No,https://www.seniorly.com/assisted-living/washington/milton/mill-ridge-village
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Stafford Suites,15519 62nd Street Ct East,Sumner,WA,98390,Assisted Living,"$2,812/mo",6.8,No,No,https://www.seniorly.com/assisted-living/washington/sumner/stafford-suites-sumner
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Heritage House Buckley,28833 Highway 410,Buckley,WA,98321,"Assisted Living , Memory Care","$4,295/mo",7.4,No,No,https://www.seniorly.com/assisted-living/washington/buckley/heritage-house-buckley
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Wesley Homes Bradley Park,707 39th Avenue SE,Puyallup,WA,98374,Assisted Living,"$4,800/mo",5.2,Yes,No,https://www.seniorly.com/assisted-living/washington/puyallup/wesley-homes-bradley-park
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Silver Creek by Bonaventure,17607 91st Avenue E,Puyallup,WA,98375,"Assisted Living , Memory Care , Independent Living","$3,500/mo",8.9,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/silver-creek-by-bonaventure
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,High Point Village,1777 Highpoint Street,Enumclaw,WA,98022,"Assisted Living , Memory Care","$3,400/mo",8.6,No,No,https://www.seniorly.com/assisted-living/washington/enumclaw/high-point-village
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Bonaventure of Puyallup,14503 Meridian Avenue E,Puyallup,WA,98375,"Assisted Living , Memory Care , Independent Living","$3,500/mo",,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/bonaventure-of-puyallup-puyallup
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Vineyard Park of Puyallup,1813 South Meridian,Puyallup,WA,98371,Assisted Living,"$4,800/mo",3.6,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/vineyard-park-of-puyallup
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Puyallup Valley Enhanced Residential Care,723 2nd Street NW,Puyallup,WA,98371,Assisted Living,"$4,800/mo",3.8,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/puyallup-valley-enhanced-residential-care-inc
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Chartley House,505 29Th Street Se,Auburn,WA,98002,Assisted Living,"$4,800/mo",3.8,No,No,https://www.seniorly.com/assisted-living/washington/auburn/chartley-house
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Linden Grove Health Care Center,400 29th Street NE,Puyallup,WA,98372,"Assisted Living , Skilled Nursing Facility","$3,500/mo",4.8,No,No,https://www.seniorly.com/assisted-living/washington/puyallup/linden-grove-health-care-center
https://www.seniorly.com/assisted-living/washington/bonney-lake,1,Waller Road Home,4710 Waller Road E,Tacoma,WA,98443,"Assisted Living , Board and Care Home","$4,080/mo",3.8,No,No,https://www.seniorly.com/assisted-living/washington/tacoma/waller-road-home
