city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/idaho/star,1,Avista Senior Living Nampa,715 West Comstock Avenue,Nampa,ID,83651,Assisted Living,"$3,500/mo",9.8,No,No,https://www.seniorly.com/assisted-living/idaho/nampa/avista-senior-living-nampa
https://www.seniorly.com/assisted-living/idaho/star,1,Edgewood Spring Creek Eagle Island,77 North Fisher Park Way,Eagle,ID,83616,"Assisted Living , Memory Care , Independent Living","$2,800/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/idaho/eagle/edgewood-spring-creek-eagle-island
https://www.seniorly.com/assisted-living/idaho/star,1,Country Time Assisted Living,277 South Main,Star,ID,83669,Country Time Assisted Living,"$3,600/mo",8.9,No,No,https://www.seniorly.com/assisted-living/idaho/star/country-time-assisted-living
https://www.seniorly.com/assisted-living/idaho/star,1,Touchmark At Meadow Lake Village,4037 East Clocktower Lane,Meridian,ID,83642,"Assisted Living , Memory Care , Independent Living","$5,000/mo",9.6,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/touchmark-at-meadowlake-village
https://www.seniorly.com/assisted-living/idaho/star,1,Spring Gardens Meridian,1180 West Overland Road,Meridian,ID,83642,Assisted Living,"$4,400/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/idaho/meridian/spring-gardens-meridian
https://www.seniorly.com/assisted-living/idaho/star,1,MorningStar Of Boise,5850 North Five Mile Road,Boise,ID,83713,"Assisted Living , Independent Living","$4,600/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/idaho/boise/morning-star-of-boise
https://www.seniorly.com/assisted-living/idaho/star,1,Table Rock Senior Living at Paramount,6280 North Fox Run Way,Meridian,ID,83646,"Assisted Living , Memory Care","$3,125/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/idaho/meridian/table-rock-senior-living-at-paramount
https://www.seniorly.com/assisted-living/idaho/star,1,Meridian Meadows Assisted Living,2584 East Magic View Drive,Meridian,ID,83642,Meridian Meadows Assisted Living,"$5,000/mo",,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/meridian-meadows-assisted-living
https://www.seniorly.com/assisted-living/idaho/star,1,Touchmark at Meadow Lake Village - Elkhorn Lodge,625 South Arbor Lane,Meridian,ID,83642,Assisted Living,"$5,000/mo",,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/touchmark-at-meadow-lake-village-elkhorn-lodge
https://www.seniorly.com/assisted-living/idaho/star,1,Autumn Cove Assisted Living,652 South Main Street,Star,ID,83669,Autumn Cove Assisted Living,"$3,600/mo",5.2,No,No,https://www.seniorly.com/assisted-living/idaho/star/autumn-cove-assisted-living
https://www.seniorly.com/assisted-living/idaho/star,1,Karcher Senior Living,1127 Caldwell Boulevard,Nampa,ID,83651,"Assisted Living , Independent Living , Skilled Nursing Facility","$3,720/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/idaho/nampa/karcher-senior-living
https://www.seniorly.com/assisted-living/idaho/star,1,Cottages Senior Living I Dba The Cottages Of Middleton,760 West Main Street,Middleton,ID,83644,"Assisted Living , Board and Care Home , Memory Care","$3,500/mo",7.7,No,No,https://www.seniorly.com/assisted-living/idaho/middleton/cottages-senior-living-i-dba-the-cottages-of-middleton
https://www.seniorly.com/assisted-living/idaho/star,1,Markham Residential Care,11525 3rd Street,Star,ID,83669,"Assisted Living , Board and Care Home","$3,600/mo",3.8,No,No,https://www.seniorly.com/assisted-living/idaho/star/markham-residential-care
https://www.seniorly.com/assisted-living/idaho/star,1,The Cottages at Lochsa Falls,2158 West Everest Lane,Meridian,ID,83646,"Assisted Living , Memory Care","$3,200/mo",6.4,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/the-cottages-at-lochsa-falls
https://www.seniorly.com/assisted-living/idaho/star,1,Table Rock Senior Living at Park Place,616 16th Avenue North,Nampa,ID,83687,"Assisted Living , Board and Care Home","$4,760/mo",6.8,No,No,https://www.seniorly.com/assisted-living/idaho/nampa/park-place-assisted-living-community
https://www.seniorly.com/assisted-living/idaho/star,1,Ashley Manor Storybook Way,126 North Storybook Way,Eagle,ID,83616,"Assisted Living , Board and Care Home , Memory Care","$3,800/mo",,No,No,https://www.seniorly.com/assisted-living/idaho/eagle/ashley-manor-storybook-way
https://www.seniorly.com/assisted-living/idaho/star,1,Cottages Senior Living I Dba The Cottages Of Meridian,3173 West Belltower Drive,Meridian,ID,83646,"Assisted Living , Board and Care Home , Memory Care","$3,780/mo",5.5,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/cottages-senior-living-i-dba-the-cottages-of-meridian
https://www.seniorly.com/assisted-living/idaho/star,1,Meadow Lake Village Retirement Resort - Owyhee Bldg,590 South Arbor Lane,Meridian,ID,83642,Assisted Living,"$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/meadow-lake-village-retirement-resort-owyhee-bldg
https://www.seniorly.com/assisted-living/idaho/star,1,Ashley Manor Middleton,620 West 9th Street North,Middleton,ID,83644,"Assisted Living , Board and Care Home , Memory Care","$3,500/mo",5.5,No,No,https://www.seniorly.com/assisted-living/idaho/middleton/ashley-manor-middleton
https://www.seniorly.com/assisted-living/idaho/star,1,Foxtail Senior Living,3559 West Bavaria Street,Eagle,ID,83616,"Assisted Living , Memory Care","$2,400/mo",4.8,No,No,https://www.seniorly.com/assisted-living/idaho/eagle/foxtail-senior-living
https://www.seniorly.com/assisted-living/idaho/star,2,Edgewood Spring Creek Meridian,175 East Calderwood Drive,Meridian,ID,83642,"Assisted Living , Board and Care Home","$3,780/mo",5.5,No,No,https://www.seniorly.com/assisted-living/idaho/meridian/edgewood-spring-creek-meridian
