city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Demaree Crossing Assisted Living and Memory Care,1255 Demaree Road,Greenwood,IN,46143,Demaree Crossing Assisted Living and Memory Care,"$3,350/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/indiana/greenwood/demaree-crossing-assisted-living-and-memory-care
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Bickford of Greenwood,3021 Stella Drive,Greenwood,IN,46143,"Assisted Living , Memory Care","$4,106/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/indiana/greenwood/bickford-of-greenwood-greenwood
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Grand Victorian of Greenwood,2339 South State Road 135,Greenwood,IN,46143,"Assisted Living , Memory Care","$5,300/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/indiana/greenwood/independence-village-of-greenwood
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Country Charm,3177 Meridian Parke Drive,Greenwood,IN,46142,"Assisted Living , Independent Living","$6,100/mo",7.3,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/country-charm
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Avalon Senior Living,6021 South Arlington Avenue.,Indianapolis,IN,46237,"Assisted Living , Memory Care","$5,500/mo",9.3,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/avalon-senior-living
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Forest Creek Village,525 East Thompson Road,Indianapolis,IN,46227,"Assisted Living , Memory Care , Skilled Nursing Facility","$6,900/mo",9.3,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/forest-creek-village
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Hellenic Senior Living of Indianapolis,8601 South Shelby Street,Indianapolis,IN,46227,"Assisted Living , Memory Care","$6,900/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/hellenic-senior-living-of-indianapolis
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Cedar Creek of Franklin,1435 Christian Boulevard,Franklin,IN,46131,Assisted Living,"$4,703/mo",9.2,Yes,No,https://www.seniorly.com/assisted-living/indiana/franklin/cedar-creek-of-franklin
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Bethany Village Assisted Living,3518 South Shelby Street,Indianapolis,IN,46227,Bethany Village Assisted Living,"$6,900/mo",9.3,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/bethany-village-indianapolis
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Greenwood Meadows,1200 North State Road 135,Greenwood,IN,46142,"Assisted Living , Memory Care , Skilled Nursing Facility","$6,100/mo",5.2,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/greenwood-meadows
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Magnolia Springs Southpointe,4926 Sir Barton Way,Indianapolis,IN,46237,"Assisted Living , Memory Care","$5,500/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/magnolia-springs-southpointe
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Crestwood Village South,8809 Madison Avenue,Indianapolis,IN,46227,"Assisted Living , Independent Living","$2,700/mo",8.6,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/crestwood-village-south
https://www.seniorly.com/assisted-living/indiana/greenwood,1,The Crossings at Banta Pointe,6510 U.S. 31 South,Indianapolis,IN,46227,"Assisted Living , Independent Living","$2,315/mo",8.6,Yes,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/the-crossings-at-banta-pointe
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Rosegate Village,7510 Rosegate Drive,Indianapolis,IN,46237,"Assisted Living , Memory Care , Skilled Nursing Facility","$6,900/mo",8.6,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/rosegate-village
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Greenwood Healthcare Center,377 Westridge Boulevard,Greenwood,IN,46142,"Assisted Living , Skilled Nursing Facility","$6,100/mo",4.8,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/greenwood-healthcare-center
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Rosegate Commons,7525 Rosegate Drive,Indianapolis,IN,46237,"Assisted Living , Independent Living","$6,900/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/rosegate
https://www.seniorly.com/assisted-living/indiana/greenwood,1,The Wellington at Southport,7212 US Highway 31,Indianapolis,IN,46227,"Assisted Living , Memory Care , Independent Living","$6,900/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/wellington-at-southport-the
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Grand Brook Memory Care of Greenwood,2444 South State Road 135,Greenwood,IN,46143,Grand Brook Memory Care of Greenwood,"$4,600/mo",6.8,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/grand-brook-memory-care-of-greenwood
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Greenwood Meadows Independent Living,3471 West County Line Road,Greenwood,IN,46142,Greenwood Meadows Independent Living,"$4,600/mo",7.3,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/greenwood-meadows-independent-living
https://www.seniorly.com/assisted-living/indiana/greenwood,1,Greenwood Health and Living Community,937 Fry Road,Greenwood,IN,46142,"Assisted Living , Skilled Nursing Facility","$6,100/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/greenwood/greenwood-health-and-living-community
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Fairway Village,2630 South Keystone Avenue,Indianapolis,IN,46203,"Assisted Living , Memory Care , Skilled Nursing Facility","$6,900/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/fairway-village
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Franklin Meadows,1285 West Jefferson Street,Franklin,IN,46131,"Assisted Living , Memory Care , Skilled Nursing Facility","$5,100/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/franklin/franklin-meadows
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Envive of Beech Grove,501 North 17th Avenue,Beech Grove,IN,46107,"Assisted Living , Skilled Nursing Facility","$5,700/mo",6.8,No,No,https://www.seniorly.com/assisted-living/indiana/beech-grove/st-paul-hermitage
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Hawthorne Healthcare Center,7465 Madison Avenue,Indianapolis,IN,46227,"Assisted Living , Skilled Nursing Facility","$6,900/mo",4.5,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/madison-health-care-center
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Bethany Village Assisted Living,3530 South Shelby Street,Indianapolis,IN,46227,Bethany Village Assisted Living,"$5,500/mo",4.8,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/bethany-village-assisted-living-indianapolis
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Majestic Care of Southport,8549 South Madison Avenue,Indianapolis,IN,46227,"Assisted Living , Skilled Nursing Facility","$6,900/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/manorcare-health-services-indianapolis
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Southpointe Healthcare Center,4904 War Admiral Drive,Indianapolis,IN,46237,"Assisted Living , Skilled Nursing Facility","$6,900/mo",3.6,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/southpointe-healthcare-center
https://www.seniorly.com/assisted-living/indiana/greenwood,2,University Heights Health and Living Community,1380 East County Line Road S,Indianapolis,IN,46227,"Assisted Living , Skilled Nursing Facility","$6,900/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/university-heights-health-and-living-community
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Hickory Creek at Franklin,580 Lemley Street,Franklin,IN,46131,"Assisted Living , Skilled Nursing Facility","$3,850/mo",6.4,No,No,https://www.seniorly.com/assisted-living/indiana/franklin/hickory-creek-at-franklin
https://www.seniorly.com/assisted-living/indiana/greenwood,2,Meridian Nursing And Rehabilitation Center,2102 South Meridian Street,Indianapolis,IN,46225,"Assisted Living , Skilled Nursing Facility","$5,500/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/indianapolis/meridian-nursing-and-rehabilitation-center
