city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/ohio/akron,1,Brookdale Montrose,100 Brookmont Road,Akron,OH,44333,"Assisted Living , Memory Care , Independent Living","$2,425/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/akron/brookdale-montrose
https://www.seniorly.com/assisted-living/ohio/akron,1,Heritage Crossing,251 North Cleveland Massillon Road,Akron,OH,44333,"Assisted Living , Memory Care","$3,650/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/akron/heritage-crossing
https://www.seniorly.com/assisted-living/ohio/akron,1,Sunrise Of Cuyahoga Falls,1500 State Road,Cuyahoga Falls,OH,44223,"Assisted Living , Memory Care","$5,502/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/cuyahoga-falls/sunrise-of-cuyahoga-falls
https://www.seniorly.com/assisted-living/ohio/akron,1,Meadow Falls of Bath,101 North Cleveland/Massillon Road,Akron,OH,44333,"Assisted Living , Memory Care","$3,525/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/ohio/akron/meadow-falls-of-bath
https://www.seniorly.com/assisted-living/ohio/akron,1,StoryPoint Medina East,122 Medina Road,Medina,OH,44256,"Assisted Living , Independent Living","$3,200/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/medina/storypoint-medina
https://www.seniorly.com/assisted-living/ohio/akron,1,Danbury Cuyahoga Falls,1691 Queens Gate Circle,Cuyahoga Falls,OH,44221,"Assisted Living , Memory Care , Independent Living","$2,290/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/cuyahoga-falls/danbury-cuyahoga-falls
https://www.seniorly.com/assisted-living/ohio/akron,1,Danbury Tallmadge,73 East Avenue,Tallmadge,OH,44278,"Assisted Living , Memory Care","$4,900/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/ohio/tallmadge/tallmadge-danbury
https://www.seniorly.com/assisted-living/ohio/akron,1,Barberton Pointe Senior Living,487 Austin Drive,Barberton,OH,44203,"Assisted Living , Memory Care","$3,905/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/barberton/barberton-pointe-senior-living
https://www.seniorly.com/assisted-living/ohio/akron,1,Village of St Edward at Green,3813 Fortuna Drive,Akron,OH,44312,"Assisted Living , Memory Care , Skilled Nursing Facility","$3,400/mo",,No,No,https://www.seniorly.com/assisted-living/ohio/akron/village-of-st-edward-at-green
https://www.seniorly.com/assisted-living/ohio/akron,1,Hudson Grande Senior Living,5400 Darrow Road,Hudson,OH,44236,"Assisted Living , Memory Care , Independent Living","$3,690/mo",9.6,No,No,https://www.seniorly.com/assisted-living/ohio/hudson/hudson-grande-senior-living
https://www.seniorly.com/assisted-living/ohio/akron,1,The Gardens At Cuyahoga Falls,45 Chart Road,Cuyahoga Falls,OH,44223,"Assisted Living , Memory Care","$3,450/mo",8.9,No,No,https://www.seniorly.com/assisted-living/ohio/cuyahoga-falls/the-gardens-at-cuyahoga-falls
https://www.seniorly.com/assisted-living/ohio/akron,1,Eden Vista Stow,5511 Fishcreek Road,Stow,OH,44224,"Assisted Living , Memory Care","$3,250/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/ohio/stow/eden-vista-stow
https://www.seniorly.com/assisted-living/ohio/akron,1,Cardinal Retirement Village,171 Graham Road,Cuyahoga Falls,OH,44223,"Assisted Living , Independent Living","$3,450/mo",8.6,No,No,https://www.seniorly.com/assisted-living/ohio/cuyahoga-falls/cardinal-retirement-village
https://www.seniorly.com/assisted-living/ohio/akron,1,The Merriman,209 Merriman Road,Akron,OH,44303,"Assisted Living , Skilled Nursing Facility","$3,840/mo",4.5,Yes,No,https://www.seniorly.com/assisted-living/ohio/akron/the-merriman
https://www.seniorly.com/assisted-living/ohio/akron,1,The Gables of Green,2045 Franks Parkway,Uniontown,OH,44685,"Assisted Living , Memory Care","$4,100/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/uniontown/the-gables-of-green
https://www.seniorly.com/assisted-living/ohio/akron,1,Pleasant Pointe Assisted Living,220 3rd Street SE,Barberton,OH,44203,Pleasant Pointe Assisted Living,"$5,200/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/barberton/pleasant-pointe-assisted-living
https://www.seniorly.com/assisted-living/ohio/akron,1,Vitalia Montrose,4041 Heritage Center Drive,Copley,OH,44321,"Assisted Living , Memory Care , Independent Living","$3,400/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/ohio/copley/vitalia-senior-residences-i
https://www.seniorly.com/assisted-living/ohio/akron,1,Mulberry Gardens Senior Living,395 South Main Street,Munroe Falls,OH,44262,Assisted Living,"$3,560/mo",6.2,Yes,No,https://www.seniorly.com/assisted-living/ohio/munroe-falls/mulberry-gardens
https://www.seniorly.com/assisted-living/ohio/akron,1,The Kentridge Senior Living,5241 Sunnybrook Road,Kent,OH,44240,"Assisted Living , Memory Care , Independent Living","$4,960/mo",7.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/kent/the-kentridge-senior-living
https://www.seniorly.com/assisted-living/ohio/akron,1,Greenview Senior Assisted Living,4000 Massillon Road,Uniontown,OH,44685,Greenview Senior Assisted Living,"$4,100/mo",7.3,No,No,https://www.seniorly.com/assisted-living/ohio/uniontown/greenview-senior-assisted-living
https://www.seniorly.com/assisted-living/ohio/akron,2,The Village At St Edward at Fairlawn,3125 Smith Road,Fairlawn,OH,44333,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$3,950/mo",6.4,No,No,https://www.seniorly.com/assisted-living/ohio/fairlawn/the-village-at-st-edward-at-fairlawn
https://www.seniorly.com/assisted-living/ohio/akron,2,National Church Residences Portage Trail Village,45 Cathedral Lane,Cuyahoga Falls,OH,44223,Assisted Living,"$3,450/mo",4.8,No,No,https://www.seniorly.com/assisted-living/ohio/cuyahoga-falls/national-church-residences-portage-trail-village
