city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Brookdale Pinnacle,1305 Lamplighter Drive,Grove City,OH,43123,"Assisted Living , Memory Care","$3,455/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/grove-city/brookdale-pinnacle
https://www.seniorly.com/assisted-living/ohio/grove-city,1,StoryPoint Grove City,3717 Orders Road,Grove City,OH,43123,"Assisted Living , Memory Care , Independent Living","$3,100/mo",9.9,No,No,https://www.seniorly.com/assisted-living/ohio/grove-city/storypoint-grove-city
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Carriage Court Of Grove City,2320 Sonora Drive,Grove City,OH,43123,"Assisted Living , Memory Care","$2,720/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/ohio/grove-city/carriage-court-of-grove-city
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Bickford Of Upper Arlington,3500 Riverside Drive,Columbus,OH,43221,"Assisted Living , Memory Care","$4,106/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/columbus/bickford-of-upper-arlington
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Grove City Danbury,3615 Glacial Lane,Grove City,OH,43123,"Assisted Living , Memory Care , Independent Living","$3,100/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/ohio/grove-city/grove-city-danbury
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Ashford of Grove City,3197 Southwest Boulevard,Grove City,OH,43123,"Assisted Living , Memory Care","$4,125/mo",,No,No,https://www.seniorly.com/assisted-living/ohio/grove-city/ashford-of-grove-city
https://www.seniorly.com/assisted-living/ohio/grove-city,1,The Coventry Senior Living,3240 Tremont Road,Upper Arlington,OH,43221,"Assisted Living , Independent Living","$4,750/mo",9.8,No,No,https://www.seniorly.com/assisted-living/ohio/columbus/the-coventry-senior-living
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Harrison On 5th,579 West 5th Avenue,Columbus,OH,43201,"Assisted Living , Memory Care , Independent Living","$3,500/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/columbus/harrison-on-5th
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Hoover Haus,3675 Hoover Road,Grove City,OH,43123,Assisted Living,"$3,100/mo",7.7,No,No,https://www.seniorly.com/assisted-living/ohio/grove-city/hoover-haus
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Creekside At The Village at Wexner Heritage Village,2200 Welcome Place,Columbus,OH,43209,"Assisted Living , Independent Living","$6,400/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/columbus/creekside-at-the-village-at-wexner-heritage-village
https://www.seniorly.com/assisted-living/ohio/grove-city,1,National Church Residences Lincoln Village,4959 Medfield Way,Columbus,OH,43228,Assisted Living,"$4,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/ohio/columbus/national-church-residences-lincoln-village
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Carolyn's Cottage,3036 Woodgrove Drive,Grove City,OH,43123,Assisted Living,,3.6,No,No,https://www.seniorly.com/assisted-living/ohio/grove-city/carolyn-s-cottage
https://www.seniorly.com/assisted-living/ohio/grove-city,1,First Community Village Healthcare Center,1801 Riverside Drive,Columbus,OH,43212,"Assisted Living , Memory Care , Independent Living","$4,300/mo",4.8,No,No,https://www.seniorly.com/assisted-living/ohio/columbus/first-community-village-healthcare-center
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Mill Run - An Optalis Health & Rehabilitation Center,3399 Mill Run Drive,Hilliard,OH,43026,"Assisted Living , Skilled Nursing Facility","$4,600/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/ohio/hilliard/mill-run-rehabilitation-center
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Dr. Roy A. Burkhart Center,1802 Riverside Drive,Columbus,OH,43212,Assisted Living,"$4,300/mo",3.8,No,No,https://www.seniorly.com/assisted-living/ohio/columbus/dr-roy-a-burkhart-center
https://www.seniorly.com/assisted-living/ohio/grove-city,1,Central Ohio Life Care Center I,2456 West Broad Street,Columbus,OH,43204,Assisted Living,"$3,500/mo",3.8,No,No,https://www.seniorly.com/assisted-living/ohio/columbus/central-ohio-life-care-center-i
