city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Brookdale Mt. Lebanon,1050 McNeilly Road,Pittsburgh,PA,15226,"Assisted Living , Independent Living","$2,995/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/brookdale-mt-lebanon
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Ridgecrest of Mccandless,8870 Duncan Avenue,Pittsburgh,PA,15237,Assisted Living,"$4,095/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/ridgecrest-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Discovery Commons Bethel Park,2000 Cool Springs Drive,Pittsburgh,PA,15234,"Assisted Living , Memory Care","$3,100/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/discovery-commons-bethel-park
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Hemsley House of Mccandless,900 Lincoln Club Drive,Pittsburgh,PA,15237,"Assisted Living , Memory Care","$5,654/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/hemsley-house-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Schenley Gardens,3890 Bigelow Boulevard,Pittsburgh,PA,15213,"Assisted Living , Memory Care , Independent Living","$4,600/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/vincentian-schenley-gardens
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,The Remington of McCandless,8651 Carey Lane,Pittsburgh,PA,15237,"Assisted Living , Memory Care","$5,249/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/the-remington-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Hemsley House of Upper St. Clair,500 Village Drive,Upper St. Clair,PA,15241,"Assisted Living , Memory Care","$6,718/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/upper-st-clair/hemsley-house-of-upper-st-clair
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Fair Oaks of Pittsburgh,2200 West Liberty Avenue,Pittsburgh,PA,15226,Assisted Living,"$4,600/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/fair-oaks-of-pittsburgh
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,Juniper Village at South Hills,1320 Greentree Road,Pittsburgh,PA,15220,"Assisted Living , Independent Living","$4,600/mo",9.1,No,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/juniper-village-at-south-hills
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,The Pines of Mount Lebanon,1537 Washington Road,Pittsburgh,PA,15228,"Assisted Living , Memory Care","$4,500/mo",8.9,No,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/the-pines-of-mt-lebanon
https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh,1,The Haven at North Hills Senior Residence,1 Windsor Way,Pittsburgh,PA,15237,"Assisted Living , Memory Care","$4,600/mo",8.8,No,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/the-haven-at-north-hills
