city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,New Perspective Senior Living - West Bend,2130 Continental Drive,West Bend,WI,53095,"Assisted Living , Memory Care , Independent Living","$2,584/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/new-perspective-west-bend
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,The Waterford At West Bend,831 East Washington Street,West Bend,WI,53095,"Assisted Living , Memory Care","$4,900/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/the-waterford-at-west-bend
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Cedar Community Memory Care - The Cottages,6090 Scenic Drive,West Bend,WI,53095,Cedar Community Memory Care - The Cottages,"$4,900/mo",4.7,No,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/cottages-at-cedar-run-the
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Cedar Lake Campus,5595 County Road Z,West Bend,WI,53095,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$4,900/mo",4.8,No,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/cedar-lake-campus
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Charter Senior Living of Hasmer Lake,N168 W22022 Main Street,Jackson,WI,53037,"Assisted Living , Memory Care","$4,050/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/jackson/cedarhurst-of-jackson
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Compassionate Heights Assisted Living,1937 North Main Street,West Bend,WI,53090,Compassionate Heights Assisted Living,"$6,000/mo",6.4,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/compassionate-heights-assisted-living
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Cedar Bay West,5555 Cedar Bay Drive,West Bend,WI,53095,Assisted Living,"$4,900/mo",3.8,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/cedar-bay-west-west-bend
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Ivy Manor Of West Bend Building 3,365 South Forest Avenue,West Bend,WI,53095,"Assisted Living , Memory Care","$4,500/mo",5.2,Yes,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/ivy-manor-of-west-bend-building-3
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Next Step In Residential Ser 7Th Ave House,659 South 7Th Avenue,West Bend,WI,53095,Assisted Living,"$4,000/mo",5.5,No,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/next-step-in-residential-ser-7th-ave-house
https://www.seniorly.com/assisted-living/wisconsin/west-bend,1,Hil Carrie Lane,1628 Carrie Lane,West Bend,WI,53095,Assisted Living,"$4,000/mo",4.8,No,No,https://www.seniorly.com/assisted-living/wisconsin/west-bend/hil-carrie-lane
