city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/alabama/madison,1,Madison At The Range,10801 County Line Road,Madison,AL,35758,"Assisted Living , Memory Care","$4,270/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/alabama/madison/madison-at-the-range
https://www.seniorly.com/assisted-living/alabama/madison,1,Merrill Gardens At Madison,121 Brookridge Drive,Madison,AL,35758,"Assisted Living , Memory Care , Independent Living","$2,595/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/alabama/madison/merrill-gardens-at-madison-scalf
https://www.seniorly.com/assisted-living/alabama/madison,1,Madison Village,6016 Wall Triana Highway,Madison,AL,35758,"Assisted Living , Independent Living","$4,420/mo",7.3,No,No,https://www.seniorly.com/assisted-living/alabama/madison/madison-village
https://www.seniorly.com/assisted-living/alabama/madison,1,The Neighborhood at Madison,49 Hughes Road,Madison,AL,35758,Assisted Living,"$2,570/mo",8.6,No,No,https://www.seniorly.com/assisted-living/alabama/madison/the-neighborhood-at-madison
https://www.seniorly.com/assisted-living/alabama/madison,1,SummerHouse Byrd Springs,8020 Benaroya Lane SW,Huntsville,AL,35802,Assisted Living,"$3,000/mo",9.4,No,No,https://www.seniorly.com/assisted-living/alabama/huntsville/summer-house-byrd-springs
https://www.seniorly.com/assisted-living/alabama/madison,1,Vitality Living Upland Park,6100 Kitt Lane Northwest,Huntsville,AL,35806,"Assisted Living , Memory Care , Independent Living","$2,150/mo",8.4,No,No,https://www.seniorly.com/assisted-living/alabama/huntsville/vitality-living-upland-park
https://www.seniorly.com/assisted-living/alabama/madison,1,Heritage Memory Care,11682 County Line Road,Madison,AL,35756,Heritage Memory Care,"$3,400/mo",6.8,No,No,https://www.seniorly.com/assisted-living/alabama/madison/heritage-memory-care
https://www.seniorly.com/assisted-living/alabama/madison,1,Regency Health Care And Rehabilitation Center,2061 Poole Drive Nw,Huntsville,AL,35810,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$3,900/mo",,No,No,https://www.seniorly.com/assisted-living/alabama/huntsville/regency-health-care-and-rehabilitation-center
https://www.seniorly.com/assisted-living/alabama/madison,1,Regency Retirement Village of Huntsville,2004 Max Luther Drive,Huntsville,AL,35810,"Assisted Living , Memory Care , Skilled Nursing Facility","$3,900/mo",6.8,No,No,https://www.seniorly.com/assisted-living/alabama/huntsville/regency-assisted-living-huntsville
https://www.seniorly.com/assisted-living/alabama/madison,1,Monark Grove Madison,11260 County Line Road,Birmingham,AL,35205,Assisted Living,"$3,100/mo",7.7,No,No,https://www.seniorly.com/assisted-living/alabama/madison/madison-crossings
https://www.seniorly.com/assisted-living/alabama/madison,1,Shepherd Living at The Range Memory Care,10803 County Line Road,Madison,AL,35758,Shepherd Living at The Range Memory Care,"$4,630/mo",3.8,No,No,https://www.seniorly.com/assisted-living/alabama/madison/shepherd-living-at-the-range-memory-care
https://www.seniorly.com/assisted-living/alabama/madison,1,Elmcroft of Byrd Springs,8020 Benaroya Lane Southwest,Hunstville,AL,35802,"Assisted Living , Memory Care","$4,400/mo",3.8,No,No,https://www.seniorly.com/assisted-living/alabama/hunstville/elmcroft-of-byrd-springs-hunstville
https://www.seniorly.com/assisted-living/alabama/madison,1,Country Cottage Huntsville Ivy,4200 Chris Drive Sw,Huntsville,AL,35802,"Assisted Living , Board and Care Home","$3,200/mo",4.5,No,No,https://www.seniorly.com/assisted-living/alabama/huntsville/country-cottage-huntsville-ivy
