city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/louisiana/harahan,1,Sunrise Of Metairie,3732 West Esplanade Avenue South,Metairie,LA,70002,"Assisted Living , Memory Care","$6,171/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/louisiana/metairie/sunrise-of-metairie
https://www.seniorly.com/assisted-living/louisiana/harahan,1,The Blake at Colonial Club,7904 Jefferson Highway,Harahan,LA,70123,"Assisted Living , Memory Care , Independent Living","$6,000/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/louisiana/harahan/the-blake-at-colonial-club
https://www.seniorly.com/assisted-living/louisiana/harahan,1,SummerHouse Vista Shores,5958 Saint Bernard Avenue,New Orleans,LA,70122,"Assisted Living , Memory Care","$5,700/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/louisiana/new-orleans/summerhouse-vista-shores
https://www.seniorly.com/assisted-living/louisiana/harahan,1,Laketown Village,1600 Joe Yenni Boulevard,Kenner,LA,70065,"Assisted Living , Memory Care","$3,695/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/louisiana/kenner/laketown-village
https://www.seniorly.com/assisted-living/louisiana/harahan,1,Ville St. Marie Senior Living Community,4112 Jefferson Highway,Jefferson,LA,70121,"Assisted Living , Independent Living","$3,000/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/louisiana/jefferson/ville-st-marie-senior-living-community
https://www.seniorly.com/assisted-living/louisiana/harahan,1,Inspired Living at Kenner,3801 Loyola Drive,Kenner,LA,70065,"Assisted Living , Memory Care","$4,200/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/louisiana/kenner/inspired-living-at-kenner
https://www.seniorly.com/assisted-living/louisiana/harahan,1,St. Francis Villa Assisted Living,10411 Jefferson Highway,River Ridge,LA,70123,St. Francis Villa Assisted Living,"$4,329/mo",6.8,Yes,No,https://www.seniorly.com/assisted-living/louisiana/river-ridge/st-francis-villa-assisted-living
https://www.seniorly.com/assisted-living/louisiana/harahan,1,The Carrollton,701 South Carrollton Avenue,New Orleans,LA,70118,"Assisted Living , Memory Care","$5,845/mo",8.9,No,No,https://www.seniorly.com/assisted-living/louisiana/new-orleans/the-carrollton-new-orleans
https://www.seniorly.com/assisted-living/louisiana/harahan,1,Old Metairie Gardens I,344 Lake Avenue,Metairie,LA,70005,Assisted Living,"$6,500/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/louisiana/metairie/old-metairie-gardens-i
https://www.seniorly.com/assisted-living/louisiana/harahan,1,The Suites at Algiers Point,813 Pelican Avenue,New Orleans,LA,70114,"Assisted Living , Memory Care","$5,030/mo",6.4,No,No,https://www.seniorly.com/assisted-living/louisiana/new-orleans/the-suites-at-algiers-point
https://www.seniorly.com/assisted-living/louisiana/harahan,1,The Laurel Senior Living,1101 Aline Street,New Orleans,LA,70115,"Assisted Living , Memory Care , Independent Living","$3,950/mo",8.4,No,No,https://www.seniorly.com/assisted-living/louisiana/new-orleans/laurel-senior-living-
