city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Sunrise of Bridgewater,390 US Route 22 East,Bridgewater,NJ,08807,"Assisted Living , Memory Care","$8,998/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/sunrise-of-bridgewater
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,The Delaney of Bridgewater,901 Frontier Road,Bridgewater,NJ,08807,"Assisted Living , Memory Care , Independent Living","$8,190/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/bound-brook/delaney-of-bridgewater
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Mira Vie At Green Knoll,680 Route 202/206 North,Bridgewater,NJ,08807,"Assisted Living , Memory Care","$4,950/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/mira-vie-at-green-knoll
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Sunrise of Basking Ridge,404 King George Road,Basking Ridge,NJ,07920,"Assisted Living , Memory Care","$7,448/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/basking-ridge/sunrise-of-basking-ridge
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Brookdale Hillsborough,600 Auten Road,Hillsborough,NJ,08844,"Assisted Living , Memory Care","$6,345/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/hillsborough/brookdale-hillsborough
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Brandywine Living at Mountain Ridge,680 Mountain Boulevard,Watchung,NJ,07069,"Assisted Living , Memory Care","$7,500/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/watchung/brandywine-living-at-mountain-ridge
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Arbor Terrace Basking Ridge,3066 Valley Road,Basking Ridge,NJ,07920,"Assisted Living , Memory Care","$6,575/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/basking-ridge/arbor-terrace-basking-ridge-assisted-living-facility
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Brandywine Middlebrook Crossing by Monarch,2005 Route 22 West,Bridgewater,NJ,08807,"Assisted Living , Memory Care","$6,600/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/brandywine-living-at-middlebrook-crossing
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Avalon At Bridgewater,565 Easton Turnpike,Bridgewater,NJ,08807,Assisted Living,"$6,600/mo",,No,No,https://www.seniorly.com/assisted-living/new-jersey/bridgewater/avalon-at-bridgewater
https://www.seniorly.com/assisted-living/new-jersey/bridgewater,1,Spring Hills at Somerset,473 Demott Lane,Somerset,NJ,08873,"Assisted Living , Memory Care","$5,200/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/somerset/spring-hills-at-somerset
