city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Sunrise of Edgewater,351 River Road,Edgewater,NJ,07020,"Assisted Living , Memory Care","$8,390/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/edgewater/sunrise-of-edgewater
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Sunrise Of Cresskill,3 Tenakill Park Drive East,Cresskill,NJ,07626,"Assisted Living , Memory Care , Independent Living","$4,928/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/cresskill/sunrise-of-cresskill
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Harbour View Senior Living Community,3505 Bergen Turnpike,North Bergen,NJ,07046,"Assisted Living , Memory Care , Independent Living","$2,500/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/north-bergen/harbour-view-senior-living
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,The Bristal at Englewood,412 South Van Brunt Street,Englewood,NJ,07631,"Assisted Living , Memory Care , Independent Living","$5,500/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/englewood/the-bristal-at-englewood
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Brightview Paramus,396 Forest Avenue,Paramus,NJ,07652,"Assisted Living , Memory Care , Independent Living","$5,285/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/paramus/brightview-paramus
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Juniper Village at Paramus,186 Paramus Road,Paramus,NJ,07652,"Assisted Living , Memory Care","$6,000/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/paramus/juniper-village-at-paramus
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Bright Side Manor,300 Teaneck Road,Teaneck,NJ,07666,Assisted Living,"$6,400/mo",8.4,No,No,https://www.seniorly.com/assisted-living/new-jersey/teaneck/bright-side-manor
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,The Pointe at Teaneck,655 Pomander Walk,Teaneck,NJ,07666,"Assisted Living , Independent Living","$4,325/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/teaneck/the-pointe-at-teaneck
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Alaris Health At The Atrium,330 9th Street,Jersey City,NJ,07302,Assisted Living,"$3,850/mo",8.6,No,No,https://www.seniorly.com/assisted-living/new-jersey/jersey-city/alaris-health-at-the-atrium
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Harmony Village at CareOne Paramus,189 Paramus Road,Paramus,NJ,07652,"Assisted Living , Memory Care","$8,000/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/new-jersey/paramus/harmony-village-at-paramus
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Brightview Tenafly,55 Hudson Avenue,Tenafly,NJ,07670,"Assisted Living , Memory Care","$5,200/mo",6.8,No,No,https://www.seniorly.com/assisted-living/new-jersey/tenafly/brightview-tenafly
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,The Actors Fund Home,175 West Hudson Avenue,Englewood,NJ,07631,"Assisted Living , Memory Care , Skilled Nursing Facility","$7,100/mo",,No,No,https://www.seniorly.com/assisted-living/new-jersey/englewood/the-actors-fund-homes-englewood
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,Chestnut Hill Residence,338 Chestnut Street,Passaic,NJ,07055,"Assisted Living , Skilled Nursing Facility","$5,700/mo",5.5,No,No,https://www.seniorly.com/assisted-living/new-jersey/passaic/chestnut-hill-residence
https://www.seniorly.com/assisted-living/new-jersey/edgewater,1,The Residence at St. Peter’s,415 5th Avenue,River Edge,NJ,07661,Assisted Living,"$6,980/mo",4.5,No,No,https://www.seniorly.com/assisted-living/new-jersey/river-edge/the-residence-at-st-peter-s
