city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/ohio/franklin,1,Bickford Of Middletown,4375 Union Road,Franklin,OH,45005,"Assisted Living , Memory Care","$4,715/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/ohio/franklin/bickford-of-middletown
https://www.seniorly.com/assisted-living/ohio/franklin,1,Stoney Ridge Senior Living,8630 Washington Church Road,Miamisburg,OH,45342,"Assisted Living , Memory Care","$4,035/mo",9.8,No,No,https://www.seniorly.com/assisted-living/ohio/miamisburg/stoney-ridge-senior-living
https://www.seniorly.com/assisted-living/ohio/franklin,1,Spring Hills Middletown,3851 Towne Boulevard,Franklin,OH,45005,"Assisted Living , Memory Care","$4,500/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/franklin/spring-hills-middletown
https://www.seniorly.com/assisted-living/ohio/franklin,1,The Wellington At Dayton,2656 West Alex Bell Road,Dayton,OH,45459,"Assisted Living , Memory Care , Independent Living","$3,300/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/ohio/dayton/the-wellington-at-dayton
https://www.seniorly.com/assisted-living/ohio/franklin,1,Sycamore Glen Retirement Community,317 Sycamore Glen Drive,Miamisburg,OH,45342,"Assisted Living , Independent Living",$884/mo,9.7,Yes,No,https://www.seniorly.com/assisted-living/ohio/miamisburg/sycamore-glen-retirement-community
https://www.seniorly.com/assisted-living/ohio/franklin,1,Tapestry Senior Living Springboro,8683 Clearcreek Franklin Road,Springboro,OH,45066,Assisted Living,"$5,720/mo",9.6,No,No,https://www.seniorly.com/assisted-living/ohio/springboro/tapestry-senior-living-springboro
https://www.seniorly.com/assisted-living/ohio/franklin,1,Winfield at Middletown,3000 McGee Avenue,Middletown,OH,45044,"Assisted Living , Memory Care","$5,110/mo",8.4,Yes,No,https://www.seniorly.com/assisted-living/ohio/middletown/winfield-at-middletown
https://www.seniorly.com/assisted-living/ohio/franklin,1,Randall Residence of Centerville,10400 Randall Park Drive,Centerville,OH,45458,"Assisted Living , Memory Care , Independent Living","$3,400/mo",9.7,No,No,https://www.seniorly.com/assisted-living/ohio/centerville/randall-residence-of-centerville
https://www.seniorly.com/assisted-living/ohio/franklin,1,Fairmont Senior Living of Washington Township,6800 Paragon Road,Dayton,OH,45459,"Assisted Living , Memory Care","$2,070/mo",8.6,Yes,No,https://www.seniorly.com/assisted-living/ohio/dayton/fairmont-senior-living-of-washington-township
https://www.seniorly.com/assisted-living/ohio/franklin,1,Suites at Walnut Creek,2501 Keystone Club Drive,Kettering,OH,45439,"Assisted Living , Memory Care , Independent Living","$4,100/mo",7.7,No,No,https://www.seniorly.com/assisted-living/ohio/kettering/suites-at-walnut-creek
https://www.seniorly.com/assisted-living/ohio/franklin,1,The Enclave Of Springboro,355 West Central Avenue,Springboro,OH,45066,"Assisted Living , Memory Care","$5,260/mo",6.1,No,No,https://www.seniorly.com/assisted-living/ohio/springboro/the-enclave-of-springboro
https://www.seniorly.com/assisted-living/ohio/franklin,1,Optimized Senior Living,150 Rough Way,Lebanon,OH,45036,Assisted Living,"$4,300/mo",9.1,No,No,https://www.seniorly.com/assisted-living/ohio/lebanon/optimized-senior-living
https://www.seniorly.com/assisted-living/ohio/franklin,1,Laurelwood Assisted Living,3797 Summit Glen Drive,Dayton,OH,45449,Laurelwood Assisted Living,"$6,700/mo",4.8,No,No,https://www.seniorly.com/assisted-living/ohio/dayton/dayton-senior-living-at-laurelwood
https://www.seniorly.com/assisted-living/ohio/franklin,1,Vienna Springs Health Campus,2510 Vienna Parkway,Miami Township,OH,45459,"Assisted Living , Memory Care , Independent Living , Skilled Nursing Facility","$3,400/mo",,No,No,https://www.seniorly.com/assisted-living/ohio/miami-township/vienna-springs-health-campus
https://www.seniorly.com/assisted-living/ohio/franklin,1,Traditions of Lebanon,401 Neil Armstrong Way,Lebanon,OH,45036,"Assisted Living , Memory Care , Independent Living","$4,300/mo",7.7,No,No,https://www.seniorly.com/assisted-living/ohio/lebanon/traditions-of-lebanon-lebanon
https://www.seniorly.com/assisted-living/ohio/franklin,1,Aaron's Garden,3712 Roosevelt Boulevard,Middletown,OH,45044,Assisted Living,"$4,800/mo",6.4,No,No,https://www.seniorly.com/assisted-living/ohio/middletown/close-to-home-ii-llc
https://www.seniorly.com/assisted-living/ohio/franklin,1,Pristine Senior Living & Post Acute Care Of Dayto,7415 Liberty Woods Lane,Dayton,OH,45459,Assisted Living,"$6,700/mo",3.8,No,No,https://www.seniorly.com/assisted-living/ohio/dayton/pristine-senior-living-post-acute-care-of-dayto
https://www.seniorly.com/assisted-living/ohio/franklin,1,Hidden Springs Senior Living,1325 West Lytle Five Points Road,Springboro,OH,45066,Assisted Living,"$6,280/mo",3.8,No,No,https://www.seniorly.com/assisted-living/ohio/springboro/beehive-homes-of-springboro
https://www.seniorly.com/assisted-living/ohio/franklin,1,Middletown Pavilion Residential Care,3100 South Main Street,Middletown,OH,45044,Assisted Living,"$5,250/mo",3.8,No,No,https://www.seniorly.com/assisted-living/ohio/middletown/middletown-pavilion-residential-care
https://www.seniorly.com/assisted-living/ohio/franklin,1,Majestic Care of Middletown Assisted Living,6898 Hamilton Middletown Road,Middletown,OH,45044,Majestic Care of Middletown Assisted Living,"$4,380/mo",3.6,No,No,https://www.seniorly.com/assisted-living/ohio/middletown/majestic-care-of-middletown-assisted-living
