city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Ridgecrest at Cranberry Woods,3020 Fairport Lane,Cranberry Township,PA,16066,"Assisted Living , Memory Care , Independent Living","$3,295/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township/ridgecrest-at-cranberry-woods
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Ridgecrest of Mccandless,8870 Duncan Avenue,Pittsburgh,PA,15237,Assisted Living,"$4,095/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/ridgecrest-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,The Province Of Wexford,210 Fowler Road,Warrendale,PA,15086,"Assisted Living , Memory Care , Independent Living","$4,800/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/warrendale/the-province-of-wexford
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Hemsley House of Mccandless,900 Lincoln Club Drive,Pittsburgh,PA,15237,"Assisted Living , Memory Care","$5,654/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/hemsley-house-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,The Remington of McCandless,8651 Carey Lane,Pittsburgh,PA,15237,"Assisted Living , Memory Care","$5,249/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/the-remington-of-mccandless
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Ashton Commons,551 Cooper Street,Wexford,PA,15090,"Assisted Living , Memory Care , Independent Living","$5,600/mo",9.5,No,No,https://www.seniorly.com/assisted-living/pennsylvania/wexford/ashton-commons
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Concordia of Franklin Park,1600 Georgetown Drive,Sewickley,PA,15143,Assisted Living,"$5,200/mo",8.6,No,No,https://www.seniorly.com/assisted-living/pennsylvania/sewickley/concordia-of-franklin-park
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,The Arbors At St. Barnabas III,6005 Valencia Road,Gibsonia,PA,15044,Assisted Living,"$5,730/mo",8.6,No,No,https://www.seniorly.com/assisted-living/pennsylvania/gibsonia/the-arbors-at-st-barnabas-iii
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Concordia of Cranberry,10 Adams Ridge Boulevard,Mars,PA,16046,Assisted Living,"$5,200/mo",,No,No,https://www.seniorly.com/assisted-living/pennsylvania/mars/concordia-of-cranberry
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,The Arbors at St. Barnabas - Valencia,85 Charity Place,Valencia,PA,16059,"Assisted Living , Memory Care , Skilled Nursing Facility","$4,900/mo",7.7,No,No,https://www.seniorly.com/assisted-living/pennsylvania/valencia/the-arbors-at-st-barnabas
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Grace Manor at North Park,9565 Babcock Boulevard,Allison Park,PA,15101,"Assisted Living , Memory Care","$4,700/mo",8.6,No,No,https://www.seniorly.com/assisted-living/pennsylvania/allison-park/grace-manor-at-north-park
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Concordia of Wexford,125 Brown Road,Wexford,PA,15090,Assisted Living,"$5,600/mo",7.3,No,No,https://www.seniorly.com/assisted-living/pennsylvania/wexford/concordia-of-wexford
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Lutheran Senior Life Passavant Community,103 Burgess Drive,Zelienople,PA,16063,Assisted Living,"$5,000/mo",,No,No,https://www.seniorly.com/assisted-living/pennsylvania/zelienople/lutheran-senior-life-passavant-community-zelienople
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Rochester Residence and Care Center,174 Virginia Avenue,Rochester,PA,15074,"Assisted Living , Skilled Nursing Facility","$5,000/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/rochester/rochester-villa
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Cumberland Crossing Manor,1201 Cumberland Road,Pittsburgh,PA,15237,Assisted Living,"$4,600/mo",6.4,Yes,No,https://www.seniorly.com/assisted-living/pennsylvania/pittsburgh/cumberland-crossing-manor
https://www.seniorly.com/assisted-living/pennsylvania/cranberry-township,1,Passavant Retirement & Health Center Newhaven Court,100 Burgess Drive,Zelienople,PA,16063,Assisted Living,"$5,250/mo",3.8,No,No,https://www.seniorly.com/assisted-living/pennsylvania/zelienople/passavant-retirement-health-center-newhaven-court
