city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/washington/federal-way,1,Brookdale Foundation House,32290 1st Avenue South,Federal Way,WA,98003,"Assisted Living , Memory Care , Independent Living","$1,910/mo",9.9,No,No,https://www.seniorly.com/assisted-living/washington/federal-way/brookdale-foundation-house
https://www.seniorly.com/assisted-living/washington/federal-way,1,Meridian At Stone Creek,1111 South 376th Street,Milton,WA,98354,"Assisted Living , Memory Care , Independent Living","$2,900/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/washington/milton/the-meridian-at-stone-creek
https://www.seniorly.com/assisted-living/washington/federal-way,1,Brookdale Federal Way,31002 14th Avenue South,Federal Way,WA,98003,Assisted Living,"$4,535/mo",9.7,No,No,https://www.seniorly.com/assisted-living/washington/federal-way/brookdale-federal-way
https://www.seniorly.com/assisted-living/washington/federal-way,1,The Rivers At Puyallup,123 4th Avenue NW,Puyallup,WA,98371,"Assisted Living , Memory Care","$3,490/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/washington/puyallup/the-rivers-at-puyallup
https://www.seniorly.com/assisted-living/washington/federal-way,1,Merrill Gardens At Auburn,18 1st Street Southeast,Auburn,WA,98002,"Assisted Living , Memory Care , Independent Living","$2,995/mo",9.9,Yes,Yes,https://www.seniorly.com/assisted-living/washington/auburn/merrill-gardens-at-auburn
https://www.seniorly.com/assisted-living/washington/federal-way,1,GenCare Lifestyle,31200 23rd Avenue South,Federal Way,WA,98003,"Assisted Living , Memory Care , Independent Living","$4,040/mo",9.3,Yes,No,https://www.seniorly.com/assisted-living/washington/federal-way/gencare-lifestyle
https://www.seniorly.com/assisted-living/washington/federal-way,1,Merrill Gardens At Wright Park,5 South G Street,Tacoma,WA,98405,"Assisted Living , Memory Care , Independent Living","$3,195/mo",9.9,No,Yes,https://www.seniorly.com/assisted-living/washington/tacoma/merrill-gardens-at-wright-park-coming-soon-
https://www.seniorly.com/assisted-living/washington/federal-way,1,Mirror Lake Village Senior Living Community,31000 9th Place Southwest,Federal Way,WA,98023,"Assisted Living , Memory Care , Independent Living","$3,750/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/washington/federal-way/mirror-lake-village-senior-living-community-federal-way
https://www.seniorly.com/assisted-living/washington/federal-way,1,Brookdale Allenmore Assisted Living,3615 South 23rd Street,Tacoma,WA,98405,Brookdale Allenmore Assisted Living,"$2,725/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/washington/tacoma/brookdale-allenmore-al-wa
https://www.seniorly.com/assisted-living/washington/federal-way,1,Farrington Court Assisted & Senior Living,516 Kenosia Avenue,Kent,WA,98030,"Assisted Living , Independent Living","$3,700/mo",9.6,No,No,https://www.seniorly.com/assisted-living/washington/kent/farrington-court-retirement-community
https://www.seniorly.com/assisted-living/washington/federal-way,1,Avista Assisted Living Sumner,5713 Parker Road,Sumner,WA,98390,Avista Assisted Living Sumner,"$3,800/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/washington/sumner/avista-assisted-living-sumner
https://www.seniorly.com/assisted-living/washington/federal-way,1,Weatherly Inn Renton,4550 Talbot Road South,Renton,WA,98055,"Assisted Living , Memory Care , Independent Living","$4,800/mo",9.3,No,No,https://www.seniorly.com/assisted-living/washington/renton/weatherly-inn-renton
https://www.seniorly.com/assisted-living/washington/federal-way,1,Spring Ridge Retirement,6856 Portland Avenue,Tacoma,WA,98404,"Assisted Living , Memory Care","$4,000/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/washington/tacoma/spring-ridge-retirement-llc
https://www.seniorly.com/assisted-living/washington/federal-way,1,Merrill Gardens At Tukwila,112 Andover Park East,Tukwila,WA,98188,"Assisted Living , Memory Care , Independent Living","$2,850/mo",8.9,Yes,No,https://www.seniorly.com/assisted-living/washington/tukwila/merrill-gardens-at-tukwila-tukwila
https://www.seniorly.com/assisted-living/washington/federal-way,1,Parkside Retirement Community,2902 I Street NE,Auburn,WA,98002,Assisted Living,"$4,800/mo",7.7,Yes,No,https://www.seniorly.com/assisted-living/washington/auburn/parkside-retirement-community
https://www.seniorly.com/assisted-living/washington/federal-way,1,Mill Ridge Village,607 28Th Avenue,Milton,WA,98354,Assisted Living,"$4,500/mo",7.7,No,No,https://www.seniorly.com/assisted-living/washington/milton/mill-ridge-village
https://www.seniorly.com/assisted-living/washington/federal-way,1,Cogir Of Kent,25035 104th Avenue Southeast,Kent,WA,98030,"Assisted Living , Independent Living","$2,995/mo",9.5,Yes,No,https://www.seniorly.com/assisted-living/washington/kent/cogir-of-kent
https://www.seniorly.com/assisted-living/washington/federal-way,1,Gencare Lifestyle Tacoma at Point Ruston,4970 Main Street,Tacoma,WA,98407,"Assisted Living , Memory Care","$4,400/mo",8.6,No,No,https://www.seniorly.com/assisted-living/washington/tacoma/gencare-lifestyle-tacoma-at-point-ruston
